[2025-08-23 19:10:20.550] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 19:10:21.324] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 19:10:21.983] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"ct1wksqog4t3a6w7kt2fc4jys"}}
[2025-08-23 19:17:54.272] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":155,"TS":"2025-08-23T14:47:54.60","TID":45,"PID":1,"M":17,"S":37,"PLID":228564,"PLUUID":"b4q9q0qgmtz959rygieg9ln1l","PN":"R. Schmid","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":0,"X":43.5,"Y":94.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:18:01.583] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":161,"TS":"2025-08-23T14:47:53.579","TID":1,"PID":1,"M":17,"S":37,"PLID":551050,"PLUUID":"elwm97xvha0y0t8yqx5sur9ck","PN":"H. Larsson","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":56.6,"Y":12.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":196,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["70.8"]},{"I":141,"V":["89.1"]},{"I":212,"V":["54.17996"]},{"I":213,"V":["1.292005"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00106056"]}]}}}
[2025-08-23 19:18:03.381] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":162,"TS":"2025-08-23T14:48:01.242","TID":1,"PID":1,"M":17,"S":44,"PLID":587982,"PLUUID":"4lg41m643jf18dgax298bufpw","PN":"J. Bahoya","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":77.5,"Y":89.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["70.5"]},{"I":141,"V":["78.4"]},{"I":212,"V":["10.58423"]},{"I":213,"V":["3.944762"]},{"I":318,"V":["0.00126572"]}]}}}
[2025-08-23 19:18:05.726] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":163,"TS":"2025-08-23T14:48:03.146","TID":1,"PID":1,"M":17,"S":46,"PLID":573379,"PLUUID":"684cguhktvth28ql6qgvvmcyc","PN":"F. Cha\u00efbi","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":70.5,"Y":78.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["62.3"]},{"I":141,"V":["60.5"]},{"I":212,"V":["14.90938"]},{"I":213,"V":["4.09674"]},{"I":318,"V":["0.0010058"]}]}}}
[2025-08-23 19:18:08.576] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":164,"TS":"2025-08-23T14:48:05.401","TID":1,"PID":1,"M":17,"S":48,"PLID":193645,"PLUUID":"1zumt9vkrqd8d3p3eqtwezi6t","PN":"R. Koch","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":62.3,"Y":60.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["90.1"]},{"I":141,"V":["33.4"]},{"I":212,"V":["34.52024"]},{"I":213,"V":["5.72006"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.03853676"]}]}}}
[2025-08-23 19:18:08.752] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":156,"TS":"2025-08-23T14:48:08.206","TID":44,"PID":1,"M":17,"S":51,"PLID":449695,"PLUUID":"f14n6d52p37nkvoo5n3i52x2h","PN":"F. Agu","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":0,"X":12.5,"Y":53.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:18:09.149] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":165,"TS":"2025-08-23T14:48:08.346","TID":44,"PID":1,"M":17,"S":51,"PLID":205252,"PLUUID":"7o11dzx2cccrslutrjl16ik89","PN":"R. Doan","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":90.1,"Y":33.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:18:12.081] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":166,"TS":"2025-08-23T14:48:08.585","TID":1,"PID":1,"M":17,"S":52,"PLID":205252,"PLUUID":"7o11dzx2cccrslutrjl16ik89","PN":"R. Doan","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":90.1,"Y":33.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["93.2"]},{"I":141,"V":["46.1"]},{"I":212,"V":["9.229058"]},{"I":213,"V":["1.210352"]},{"I":318,"V":["0.15608884"]}]}}}
[2025-08-23 19:18:12.891] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":167,"TS":"2025-08-23T14:48:11.801","TID":3,"PID":1,"M":17,"S":55,"PLID":225485,"PLUUID":"d3tfdqfnab7bqxfdh3399y06i","PN":"J. Burkardt","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":97,"Y":60.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:18:17.742] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":168,"TS":"2025-08-23T14:48:13.417","TID":5,"PID":1,"M":17,"S":56,"PLID":225485,"PLUUID":"d3tfdqfnab7bqxfdh3399y06i","PN":"J. Burkardt","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":100.7,"Y":66,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 19:18:20.535] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":169,"TS":"2025-08-23T14:48:11.482","TID":3,"PID":1,"M":17,"S":54,"PLID":225485,"PLUUID":"d3tfdqfnab7bqxfdh3399y06i","PN":"J. Burkardt","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":92.2,"Y":69.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:18:34.713] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":157,"TS":"2025-08-23T14:48:14.427","TID":5,"PID":1,"M":17,"S":57,"PLID":513441,"PLUUID":"39yc76urwnda0ze6qb9h00ine","PN":"M. Backhaus","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":-1.9,"Y":42.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 19:18:35.916] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":158,"TS":"2025-08-23T14:48:34.555","TID":1,"PID":1,"M":18,"S":18,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":4.7,"Y":60.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["4.7"]},{"I":141,"V":["53.2"]},{"I":212,"V":["4.828"]},{"I":213,"V":["4.712389"]},{"I":318,"V":["0.00000051"]},{"I":237,"V":["NULL"]}]}}}
[2025-08-23 19:18:38.401] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":170,"TS":"2025-08-23T14:39:02.810","TID":3,"PID":1,"M":8,"S":46,"PLID":205252,"PLUUID":"7o11dzx2cccrslutrjl16ik89","PN":"R. Doan","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":36.5,"Y":19.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:18:42.439] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":159,"TS":"2025-08-23T14:48:39.100","TID":1,"PID":1,"M":18,"S":22,"PLID":513441,"PLUUID":"39yc76urwnda0ze6qb9h00ine","PN":"M. Backhaus","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":6.6,"Y":52,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["35.8"]},{"I":141,"V":["93.1"]},{"I":212,"V":["41.48646"]},{"I":213,"V":["0.7391576"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00000788"]}]}}}
[2025-08-23 19:18:43.562] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":160,"TS":"2025-08-23T14:48:42.140","TID":1,"PID":1,"M":18,"S":25,"PLID":513536,"PLUUID":"58d87tochcm6hk4n6l7ua7jvu","PN":"S. Mbangula","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":0,"X":35.9,"Y":92.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["46.7"]},{"I":141,"V":["87.9"]},{"I":212,"V":["11.81938"]},{"I":213,"V":["5.997401"]}]}}}
[2025-08-23 19:18:44.742] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":171,"TS":"2025-08-23T14:48:44.442","TID":49,"PID":1,"M":18,"S":27,"PLID":193645,"PLUUID":"1zumt9vkrqd8d3p3eqtwezi6t","PN":"R. Koch","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":52.2,"Y":13.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 19:18:47.522] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":172,"TS":"2025-08-23T14:48:44.665","TID":1,"PID":1,"M":18,"S":28,"PLID":193645,"PLUUID":"1zumt9vkrqd8d3p3eqtwezi6t","PN":"R. Koch","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":52.2,"Y":13.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["59.9"]},{"I":141,"V":["4.7"]},{"I":212,"V":["9.8992"]},{"I":213,"V":["5.668115"]},{"I":318,"V":["0.00011456"]}]}}}
[2025-08-23 19:18:49.215] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":173,"TS":"2025-08-23T14:48:47.338","TID":1,"PID":1,"M":18,"S":30,"PLID":492942,"PLUUID":"dchp4ud6043gahy06jrm7q6i2","PN":"N. Collins","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":59.9,"Y":4.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["79.6"]},{"I":141,"V":["10.4"]},{"I":212,"V":["21.04501"]},{"I":213,"V":["0.1852341"]}]}}}
[2025-08-23 19:18:49.833] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":161,"TS":"2025-08-23T14:48:48.780","TID":12,"PID":1,"M":18,"S":32,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":16.2,"Y":80,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["16.2"]},{"I":141,"V":["80"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]}]}}}
[2025-08-23 19:18:50.226] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":162,"TS":"2025-08-23T14:48:49.612","TID":5,"PID":1,"M":18,"S":33,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":0,"X":20.2,"Y":101.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:18:53.657] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":174,"TS":"2025-08-23T14:48:50.667","TID":5,"PID":1,"M":18,"S":34,"PLID":492942,"PLUUID":"dchp4ud6043gahy06jrm7q6i2","PN":"N. Collins","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":75.9,"Y":-1.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:18:55.060] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":175,"TS":"2025-08-23T14:48:53.417","TID":1,"PID":1,"M":18,"S":36,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":77.4,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["79.2"]},{"I":141,"V":["7.1"]},{"I":212,"V":["6.470197"]},{"I":213,"V":["1.274365"]},{"I":318,"V":["0.00016246"]}]}}}
[2025-08-23 19:18:55.811] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":176,"TS":"2025-08-23T14:48:54.729","TID":1,"PID":1,"M":18,"S":38,"PLID":554087,"PLUUID":"4a59itr8bwm9auhz9f2dno104","PN":"C. Uzun","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":79.2,"Y":7.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["77.1"]},{"I":141,"V":["3.1"]},{"I":212,"V":["3.501489"]},{"I":213,"V":["4.031181"]},{"I":318,"V":["0.00053497"]}]}}}
[2025-08-23 19:18:57.330] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":177,"TS":"2025-08-23T14:48:55.530","TID":1,"PID":1,"M":18,"S":39,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":77.1,"Y":3.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["74.6"]},{"I":141,"V":["7.1"]},{"I":212,"V":["3.780083"]},{"I":213,"V":["2.338423"]},{"I":318,"V":["0.00056335"]}]}}}
[2025-08-23 19:18:58.333] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":178,"TS":"2025-08-23T14:48:57.2","TID":1,"PID":1,"M":18,"S":40,"PLID":554087,"PLUUID":"4a59itr8bwm9auhz9f2dno104","PN":"C. Uzun","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":74.4,"Y":9.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["72.1"]},{"I":141,"V":["19.5"]},{"I":212,"V":["7.216109"]},{"I":213,"V":["1.912049"]},{"I":318,"V":["0.00117804"]}]}}}
[2025-08-23 19:19:00.253] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":179,"TS":"2025-08-23T14:48:58.121","TID":1,"PID":1,"M":18,"S":41,"PLID":551050,"PLUUID":"elwm97xvha0y0t8yqx5sur9ck","PN":"H. Larsson","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":72.1,"Y":19.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["62.3"]},{"I":141,"V":["8.5"]},{"I":212,"V":["12.72142"]},{"I":213,"V":["3.770158"]},{"I":318,"V":["0.00029372"]}]}}}
[2025-08-23 19:19:01.663] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":180,"TS":"2025-08-23T14:48:59.962","TID":1,"PID":1,"M":18,"S":43,"PLID":492942,"PLUUID":"dchp4ud6043gahy06jrm7q6i2","PN":"N. Collins","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":62.3,"Y":8.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["57.0"]},{"I":141,"V":["25.9"]},{"I":212,"V":["13.07538"]},{"I":213,"V":["2.010431"]},{"I":318,"V":["0.00025979"]}]}}}
[2025-08-23 19:19:04.656] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":181,"TS":"2025-08-23T14:49:01.370","TID":1,"PID":1,"M":18,"S":44,"PLID":193645,"PLUUID":"1zumt9vkrqd8d3p3eqtwezi6t","PN":"R. Koch","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":57,"Y":25.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["54.7"]},{"I":141,"V":["55.5"]},{"I":212,"V":["20.27236"]},{"I":213,"V":["1.690208"]},{"I":318,"V":["0.00033581"]}]}}}
[2025-08-23 19:19:08.755] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":182,"TS":"2025-08-23T14:49:04.314","TID":1,"PID":1,"M":18,"S":47,"PLID":465189,"PLUUID":"8qlz4omhgfnzyb2cgeou7xn56","PN":"A. Theate","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":54.3,"Y":55.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["78.3"]},{"I":141,"V":["5.3"]},{"I":212,"V":["42.43002"]},{"I":213,"V":["5.34831"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00112784"]}]}}}
[2025-08-23 19:19:10.409] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":183,"TS":"2025-08-23T14:49:08.569","TID":1,"PID":1,"M":18,"S":52,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":79.1,"Y":4.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["82.0"]},{"I":141,"V":["19.4"]},{"I":212,"V":["10.31948"]},{"I":213,"V":["1.271264"]}]}}}
[2025-08-23 19:19:10.827] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":163,"TS":"2025-08-23T14:49:10.588","TID":8,"PID":1,"M":18,"S":54,"PLID":444687,"PLUUID":"39tod1iad3ztq17qveh8pwp9l","PN":"S. Lynen","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":17.9,"Y":80.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 19:19:12.423] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":164,"TS":"2025-08-23T14:49:12.106","TID":49,"PID":1,"M":18,"S":55,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":6.5,"Y":72.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 19:19:13.625] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":165,"TS":"2025-08-23T14:49:12.251","TID":1,"PID":1,"M":18,"S":55,"PLID":225335,"PLUUID":"aaoycxwi9jny6flm4apz8a2uh","PN":"M. Friedl","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":6.5,"Y":72.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["6.5"]},{"I":141,"V":["82.1"]},{"I":212,"V":["6.596"]},{"I":213,"V":["1.570796"]},{"I":318,"V":["0.00000021"]}]}}}
[2025-08-23 19:19:15.276] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":166,"TS":"2025-08-23T14:49:13.276","TID":1,"PID":1,"M":18,"S":56,"PLID":444687,"PLUUID":"39tod1iad3ztq17qveh8pwp9l","PN":"S. Lynen","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":6.5,"Y":82.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["31.1"]},{"I":141,"V":["81.4"]},{"I":212,"V":["25.83438"]},{"I":213,"V":["6.264759"]},{"I":318,"V":["0.00000466"]}]}}}
[2025-08-23 19:19:15.878] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":167,"TS":"2025-08-23T14:49:15.52","TID":1,"PID":1,"M":18,"S":58,"PLID":228564,"PLUUID":"b4q9q0qgmtz959rygieg9ln1l","PN":"R. Schmid","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":31.2,"Y":81.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["21.1"]},{"I":141,"V":["92.3"]},{"I":212,"V":["12.89963"]},{"I":213,"V":["2.535916"]},{"I":318,"V":["0.00000158"]}]}}}
[2025-08-23 19:19:16.290] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":184,"TS":"2025-08-23T14:49:16.106","TID":8,"PID":1,"M":18,"S":59,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":76.4,"Y":19.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-23 19:19:18.192] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":185,"TS":"2025-08-23T14:49:17.866","TID":49,"PID":1,"M":19,"S":1,"PLID":492942,"PLUUID":"dchp4ud6043gahy06jrm7q6i2","PN":"N. Collins","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":79.9,"Y":7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 19:19:19.709] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":186,"TS":"2025-08-23T14:49:18.393","TID":1,"PID":1,"M":19,"S":1,"PLID":492942,"PLUUID":"dchp4ud6043gahy06jrm7q6i2","PN":"N. Collins","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":79.9,"Y":7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["84.3"]},{"I":141,"V":["9.8"]},{"I":212,"V":["4.996961"]},{"I":213,"V":["0.3909118"]},{"I":318,"V":["0.0013442"]}]}}}
[2025-08-23 19:19:20.856] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":187,"TS":"2025-08-23T14:49:19.257","TID":1,"PID":1,"M":19,"S":2,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":84.8,"Y":10,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["93.6"]},{"I":141,"V":["45.1"]},{"I":212,"V":["25.59412"]},{"I":213,"V":["1.201434"]}]}}}
[2025-08-23 19:19:22.059] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":168,"TS":"2025-08-23T14:49:21.691","TID":11,"PID":1,"M":19,"S":5,"PLID":513441,"PLUUID":"39yc76urwnda0ze6qb9h00ine","PN":"M. Backhaus","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":6,"Y":52.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":88,"V":["NULL"]}]}}}
