[2025-08-23 19:12:49.289] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 19:12:49.948] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 19:12:50.600] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cvxiwe1m7tpfeel02s60xym8k"}}
[2025-08-23 19:21:40.233] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":157,"TS":"2025-08-23T14:51:39.672","TID":1,"PID":1,"M":21,"S":8,"PLID":229046,"PLUUID":"3hd9nxdb54zn4fhbf7qa7x0q1","PN":"L. Majer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":44.2,"Y":30.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["40.9"]},{"I":141,"V":["31"]},{"I":212,"V":["3.465667"]},{"I":213,"V":["3.12197"]},{"I":318,"V":["0.00002926"]}]}}}
[2025-08-23 19:21:41.673] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":158,"TS":"2025-08-23T14:51:40.824","TID":1,"PID":1,"M":21,"S":10,"PLID":109219,"PLUUID":"acxwc7xxrtyssiy390t859kgl","PN":"M. Arnold","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":40.9,"Y":31,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["48.9"]},{"I":141,"V":["31.5"]},{"I":212,"V":["8.406878"]},{"I":213,"V":["0.04045411"]},{"I":318,"V":["0.00007766"]}]}}}
[2025-08-23 19:21:42.629] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":159,"TS":"2025-08-23T14:51:42.329","TID":49,"PID":1,"M":21,"S":11,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":59.1,"Y":30.1,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[]}}}
[2025-08-23 19:21:44.484] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":182,"TS":"2025-08-23T14:51:44.309","TID":45,"PID":1,"M":21,"S":13,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":35.8,"Y":58.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:21:45.088] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":160,"TS":"2025-08-23T14:51:44.104","TID":3,"PID":1,"M":21,"S":13,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":60.6,"Y":29.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:21:46.343] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":161,"TS":"2025-08-23T14:51:45.848","TID":3,"PID":1,"M":21,"S":15,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":55.8,"Y":36.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:21:46.957] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":183,"TS":"2025-08-23T14:51:46.357","TID":7,"PID":1,"M":21,"S":15,"PLID":196243,"PLUUID":"6hotzhpidcjljm3u0ud1uqsid","PN":"B. Zivzivadze","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":36.3,"Y":52.3,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:21:47.939] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":162,"TS":"2025-08-23T14:51:47.96","TID":3,"PID":1,"M":21,"S":16,"PLID":430368,"PLUUID":"5asv6uc3a4xxsr9u30kdfc0ve","PN":"A. Skov Olsen","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":58.3,"Y":17.1,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:21:49.438] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":163,"TS":"2025-08-23T14:51:47.640","TID":1,"PID":1,"M":21,"S":16,"PLID":430368,"PLUUID":"5asv6uc3a4xxsr9u30kdfc0ve","PN":"A. Skov Olsen","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":60.6,"Y":30.6,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["67.5"]},{"I":141,"V":["56.1"]},{"I":212,"V":["18.7927"]},{"I":213,"V":["1.175023"]},{"I":318,"V":["0.00204333"]}]}}}
[2025-08-23 19:21:50.229] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":161,"TS":"2025-08-23T14:51:45.848","TID":3,"PID":1,"M":21,"S":15,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":59,"Y":41,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":372,"V":["33h7hy4qg4m1u58cvp1y8swm8"]},{"I":286,"V":["NULL"]},{"I":233,"V":["183"]}]}}}
[2025-08-23 19:21:50.434] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":184,"TS":"2025-08-23T14:51:47.844","TID":45,"PID":1,"M":21,"S":17,"PLID":584651,"PLUUID":"f46s4bfeipn0k33s0brsu4yl0","PN":"L\u00e9o Scienza","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":36.7,"Y":66.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:21:50.495] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":162,"TS":"2025-08-23T14:51:47.96","TID":3,"PID":1,"M":21,"S":16,"PLID":430368,"PLUUID":"5asv6uc3a4xxsr9u30kdfc0ve","PN":"A. Skov Olsen","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":60.8,"Y":25.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":233,"V":["184"]},{"I":372,"V":["7cg1lhxzf92fhcxafsraupuyo"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:21:55.036] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":164,"TS":"2025-08-23T14:51:49.256","TID":1,"PID":1,"M":21,"S":18,"PLID":424001,"PLUUID":"adi6l78sdvet408eho4fi4xk9","PN":"Vinicius Souza","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":67.6,"Y":59.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["81.2"]},{"I":141,"V":["87.1"]},{"I":212,"V":["23.63712"]},{"I":213,"V":["0.9221169"]},{"I":318,"V":["0.00244784"]}]}}}
[2025-08-23 19:21:56.440] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":165,"TS":"2025-08-23T14:51:54.855","TID":1,"PID":1,"M":21,"S":24,"PLID":522015,"PLUUID":"diyzb2gwf1zkvqyjc63085eui","PN":"A. Zehnter","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":82.4,"Y":84,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["77"]},{"I":141,"V":["61.5"]},{"I":212,"V":["16.31683"]},{"I":213,"V":["4.357492"]},{"I":318,"V":["0.00902377"]}]}}}
[2025-08-23 19:21:58.238] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":166,"TS":"2025-08-23T14:51:56.103","TID":1,"PID":1,"M":21,"S":25,"PLID":424001,"PLUUID":"adi6l78sdvet408eho4fi4xk9","PN":"Vinicius Souza","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":76.9,"Y":61.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["80.5"]},{"I":141,"V":["43.8"]},{"I":212,"V":["12.81039"]},{"I":213,"V":["5.011921"]},{"I":318,"V":["0.02366094"]}]}}}
[2025-08-23 19:22:00.868] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":167,"TS":"2025-08-23T14:51:58.40","TID":1,"PID":1,"M":21,"S":27,"PLID":229046,"PLUUID":"3hd9nxdb54zn4fhbf7qa7x0q1","PN":"L. Majer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":77.7,"Y":43.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["74.9"]},{"I":141,"V":["30.6"]},{"I":212,"V":["9.44522"]},{"I":213,"V":["4.395861"]},{"I":318,"V":["0.00543945"]}]}}}
[2025-08-23 19:22:01.243] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":168,"TS":"2025-08-23T14:51:59.848","TID":39,"PID":1,"M":21,"S":29,"PLID":514716,"PLUUID":"2mwe6l0eu1tisri3eu26fx8x6","PN":"K. Fischer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":75.9,"Y":28.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":252,"V":["NULL"]}]}}}
[2025-08-23 19:22:03.451] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":185,"TS":"2025-08-23T14:52:02.213","TID":5,"PID":1,"M":21,"S":31,"PLID":584651,"PLUUID":"f46s4bfeipn0k33s0brsu4yl0","PN":"L\u00e9o Scienza","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":-0.7,"Y":56.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 19:22:03.855] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":169,"TS":"2025-08-23T14:52:01.386","TID":5,"PID":1,"M":21,"S":30,"PLID":514716,"PLUUID":"2mwe6l0eu1tisri3eu26fx8x6","PN":"K. Fischer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":100.5,"Y":43.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 19:22:04.122] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":168,"TS":"2025-08-23T14:51:59.848","TID":13,"PID":1,"M":21,"S":29,"PLID":514716,"PLUUID":"2mwe6l0eu1tisri3eu26fx8x6","PN":"K. Fischer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":76.9,"Y":32,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.028"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]}]}}}
[2025-08-23 19:22:07.690] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":168,"TS":"2025-08-23T14:51:59.848","TID":13,"PID":1,"M":21,"S":29,"PLID":514716,"PLUUID":"2mwe6l0eu1tisri3eu26fx8x6","PN":"K. Fischer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":76.9,"Y":32,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":87,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["167"]},{"I":368,"V":["7jn84nk9f5n2ownbv91il1ejs"]},{"I":102,"V":["41.8487394957983"]},{"I":103,"V":["51.3888888888889"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.028"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":230,"V":["98.1057692307692"]},{"I":231,"V":["48.375"]}]}}}
[2025-08-23 19:22:32.727] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":168,"TS":"2025-08-23T14:51:59.848","TID":13,"PID":1,"M":21,"S":29,"PLID":514716,"PLUUID":"2mwe6l0eu1tisri3eu26fx8x6","PN":"K. Fischer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":75.9,"Y":33.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":81,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["167"]},{"I":368,"V":["7jn84nk9f5n2ownbv91il1ejs"]},{"I":102,"V":["41.1764705882353"]},{"I":103,"V":["73.6111111111111"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0276"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":230,"V":["98.1057692307692"]},{"I":231,"V":["48.375"]}]}}}
[2025-08-23 19:22:36.011] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":186,"TS":"2025-08-23T14:52:33.93","TID":1,"PID":1,"M":22,"S":2,"PLID":483085,"PLUUID":"f2ibn3ej2doay3b4u8ezeix62","PN":"D. Ramaj","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":5.4,"Y":51.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["73.9"]},{"I":141,"V":["8.2"]},{"I":212,"V":["77.6927"]},{"I":213,"V":["5.895437"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.000216"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-23 19:22:36.253] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":187,"TS":"2025-08-23T14:52:35.797","TID":61,"PID":1,"M":22,"S":5,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":74,"Y":8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-23 19:22:37.414] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":170,"TS":"2025-08-23T14:52:37.15","TID":44,"PID":1,"M":22,"S":6,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":90.2,"Y":57.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:22:37.615] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":188,"TS":"2025-08-23T14:52:37.13","TID":5,"PID":1,"M":22,"S":6,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":74.9,"Y":-0.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:22:40.415] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":188,"TS":"2025-08-23T14:52:37.13","TID":43,"PID":1,"M":22,"S":6,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":74.9,"Y":-0.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":[null]},{"I":144,"V":["5"]}]}}}
[2025-08-23 19:22:46.656] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":189,"TS":"2025-08-23T14:52:46.196","TID":5,"PID":1,"M":22,"S":15,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":75.9,"Y":-0.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:22:51.455] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":171,"TS":"2025-08-23T14:52:40.767","TID":5,"PID":1,"M":22,"S":10,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":13.9,"Y":100.6,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:22:53.673] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":172,"TS":"2025-08-23T14:52:52.311","TID":1,"PID":1,"M":22,"S":21,"PLID":522015,"PLUUID":"diyzb2gwf1zkvqyjc63085eui","PN":"A. Zehnter","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":13.9,"Y":100.6,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["8.7"]},{"I":141,"V":["95.2"]},{"I":212,"V":["6.579907"]},{"I":213,"V":["3.733642"]},{"I":318,"V":["0.0000001"]}]}}}
[2025-08-23 19:22:56.688] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":173,"TS":"2025-08-23T14:52:53.303","TID":1,"PID":1,"M":22,"S":22,"PLID":570164,"PLUUID":"5d3stmq3pgka4qhdfoff35t9m","PN":"K. Koulierakis","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":8.7,"Y":95.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["46.1"]},{"I":141,"V":["88.5"]},{"I":212,"V":["39.53341"]},{"I":213,"V":["6.167685"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 19:22:57.887] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":190,"TS":"2025-08-23T14:52:56.660","TID":1,"PID":1,"M":22,"S":25,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":52.2,"Y":11.3,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["68.7"]},{"I":141,"V":["13.3"]},{"I":212,"V":["17.3783"]},{"I":213,"V":["0.07833863"]}]}}}
[2025-08-23 19:23:01.299] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":174,"TS":"2025-08-23T14:52:58.631","TID":1,"PID":1,"M":22,"S":27,"PLID":424001,"PLUUID":"adi6l78sdvet408eho4fi4xk9","PN":"Vinicius Souza","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":31.4,"Y":90.7,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["47.5"]},{"I":141,"V":["95.8"]},{"I":212,"V":["17.25706"]},{"I":213,"V":["0.2023391"]}]}}}
[2025-08-23 19:23:03.933] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":175,"TS":"2025-08-23T14:53:02.439","TID":5,"PID":1,"M":22,"S":31,"PLID":424001,"PLUUID":"adi6l78sdvet408eho4fi4xk9","PN":"Vinicius Souza","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":42.7,"Y":101.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:23:05.335] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":191,"TS":"2025-08-23T14:53:02.661","TID":12,"PID":1,"M":22,"S":31,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":52.1,"Y":9.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["52.1"]},{"I":141,"V":["9.4"]},{"I":212,"V":["0"]},{"I":213,"V":["3.141593"]}]}}}
[2025-08-23 19:23:05.533] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":192,"TS":"2025-08-23T14:53:04.981","TID":5,"PID":1,"M":22,"S":34,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":58.1,"Y":-1.8,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:23:18.397] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":176,"TS":"2025-08-23T14:53:15.495","TID":1,"PID":1,"M":22,"S":44,"PLID":522015,"PLUUID":"diyzb2gwf1zkvqyjc63085eui","PN":"A. Zehnter","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":46.9,"Y":101.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["40.5"]},{"I":141,"V":["93.9"]},{"I":212,"V":["8.477419"]},{"I":213,"V":["3.797173"]},{"I":318,"V":["0.00000459"]}]}}}
[2025-08-23 19:23:24.087] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":177,"TS":"2025-08-23T14:53:18.215","TID":1,"PID":1,"M":22,"S":47,"PLID":486206,"PLUUID":"aplc9mad75h1k90o3qla9c7l6","PN":"P. Wimmer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":40,"Y":93.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["14.5"]},{"I":141,"V":["56.2"]},{"I":212,"V":["37.06892"]},{"I":213,"V":["3.905262"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00000221"]}]}}}
[2025-08-23 19:23:28.441] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":178,"TS":"2025-08-23T14:53:23.831","TID":1,"PID":1,"M":22,"S":53,"PLID":232904,"PLUUID":"a79ojcztkvgui9sw4zbkmvr3d","PN":"K. Grabara","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":18.2,"Y":53.7,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.8"]},{"I":141,"V":["75.3"]},{"I":212,"V":["15.82124"]},{"I":213,"V":["1.190008"]},{"I":318,"V":["0.00000261"]}]}}}
