[2025-08-19 00:32:44.800] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-19 00:32:45.449] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-19 00:32:46.097] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"13ylro8dy443m52qxwrxm9zis"}}
[2025-08-19 00:47:12.418] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":163,"TS":"2025-08-18T20:17:09.456","TID":1,"PID":1,"M":15,"S":4,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":44.7,"Y":34.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["69.5"]},{"I":141,"V":["34.3"]},{"I":212,"V":["26.04222"]},{"I":213,"V":["6.270129"]},{"I":318,"V":["0.00116215"]}]}}}
[2025-08-19 00:47:12.440] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":153,"TS":"2025-08-18T20:16:27.568","TID":15,"PID":1,"M":14,"S":22,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":78.7,"Y":56.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":233,"V":["132"]},{"I":372,"V":["2gcy2lfuto6r8bm0fwv6e2l39"]},{"I":25,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["50.0330422750262"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0223"]},{"I":328,"V":["NULL"]},{"I":327,"V":["3"]},{"I":326,"V":["2"]},{"I":458,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":146,"V":["92.1346153846154"]},{"I":147,"V":["52.3472222222222"]},{"I":230,"V":["98.7548076923077"]},{"I":231,"V":["50"]}]}}}
[2025-08-19 00:47:14.684] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":164,"TS":"2025-08-18T20:17:12.168","TID":1,"PID":1,"M":15,"S":7,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":69.5,"Y":31.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["82"]},{"I":141,"V":["9.4"]},{"I":212,"V":["20.00387"]},{"I":213,"V":["5.428059"]},{"I":318,"V":["0.0012216"]}]}}}
[2025-08-19 00:47:15.945] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":165,"TS":"2025-08-18T20:17:14.344","TID":1,"PID":1,"M":15,"S":9,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":82.1,"Y":9.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["87.5"]},{"I":141,"V":["39.2"]},{"I":212,"V":["21.0423"]},{"I":213,"V":["1.297967"]}]}}}
[2025-08-19 00:47:16.903] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":139,"TS":"2025-08-18T20:17:16.91","TID":12,"PID":1,"M":15,"S":11,"PLID":17761,"PLUUID":"35jaxclh329duzefna708jk5x","PN":"J. Tarkowski","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":13.2,"Y":58.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["13.2"]},{"I":141,"V":["58.2"]},{"I":212,"V":["0"]},{"I":213,"V":["3.141593"]}]}}}
[2025-08-19 00:47:17.129] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":140,"TS":"2025-08-18T20:17:16.715","TID":5,"PID":1,"M":15,"S":11,"PLID":17761,"PLUUID":"35jaxclh329duzefna708jk5x","PN":"J. Tarkowski","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":22.2,"Y":102,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:47:19.152] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":166,"TS":"2025-08-18T20:17:17.856","TID":5,"PID":1,"M":15,"S":13,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":74.1,"Y":-1.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:47:34.802] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":167,"TS":"2025-08-18T20:17:31.984","TID":1,"PID":1,"M":15,"S":27,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":71,"Y":-1.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["42.9"]},{"I":141,"V":["8.6"]},{"I":212,"V":["30.27846"]},{"I":213,"V":["2.915078"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00001464"]}]}}}
[2025-08-19 00:47:39.248] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":168,"TS":"2025-08-18T20:17:34.528","TID":1,"PID":1,"M":15,"S":29,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":43.9,"Y":8.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["46"]},{"I":141,"V":["45.1"]},{"I":212,"V":["24.71456"]},{"I":213,"V":["1.481459"]},{"I":318,"V":["0.00005677"]}]}}}
[2025-08-19 00:47:40.837] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":169,"TS":"2025-08-18T20:17:39.16","TID":1,"PID":1,"M":15,"S":34,"PLID":222694,"PLUUID":"b275i2lg3anqae5lv9gmrzmqx","PN":"P. Struijk","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":45.7,"Y":48.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["44.8"]},{"I":141,"V":["30.9"]},{"I":212,"V":["11.93746"]},{"I":213,"V":["4.633143"]},{"I":318,"V":["0.00003986"]}]}}}
[2025-08-19 00:47:43.475] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":170,"TS":"2025-08-18T20:17:40.656","TID":1,"PID":1,"M":15,"S":35,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":46,"Y":31.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.2"]},{"I":141,"V":["58.7"]},{"I":212,"V":["18.33534"]},{"I":213,"V":["1.502022"]},{"I":318,"V":["0.00006767"]}]}}}
[2025-08-19 00:47:45.849] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":171,"TS":"2025-08-18T20:17:43.224","TID":1,"PID":1,"M":15,"S":38,"PLID":222694,"PLUUID":"b275i2lg3anqae5lv9gmrzmqx","PN":"P. Struijk","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":46.1,"Y":63,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["53.6"]},{"I":141,"V":["80.9"]},{"I":212,"V":["14.49735"]},{"I":213,"V":["0.9965494"]},{"I":318,"V":["0.00008353"]}]}}}
[2025-08-19 00:47:48.865] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":172,"TS":"2025-08-18T20:17:45.543","TID":1,"PID":1,"M":15,"S":40,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":55.3,"Y":82,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["71.3"]},{"I":141,"V":["97.4"]},{"I":212,"V":["19.79654"]},{"I":213,"V":["0.5573999"]},{"I":318,"V":["0.00024232"]}]}}}
[2025-08-19 00:47:52.257] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":173,"TS":"2025-08-18T20:17:48.688","TID":1,"PID":1,"M":15,"S":43,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":71,"Y":95,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["61.2"]},{"I":141,"V":["88.3"]},{"I":212,"V":["11.2535"]},{"I":213,"V":["3.558409"]},{"I":318,"V":["0.00016947"]}]}}}
[2025-08-19 00:47:56.379] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":174,"TS":"2025-08-18T20:17:52.8","TID":1,"PID":1,"M":15,"S":47,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":64.6,"Y":82.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["63.8"]},{"I":141,"V":["72.9"]},{"I":212,"V":["6.649272"]},{"I":213,"V":["4.585721"]},{"I":318,"V":["0.00042752"]}]}}}
[2025-08-19 00:47:58.187] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":175,"TS":"2025-08-18T20:17:56.224","TID":1,"PID":1,"M":15,"S":51,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":58.5,"Y":69.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["60.2"]},{"I":141,"V":["80.6"]},{"I":212,"V":["8.021136"]},{"I":213,"V":["1.34638"]},{"I":318,"V":["0.00020544"]}]}}}
[2025-08-19 00:48:03.762] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":176,"TS":"2025-08-18T20:17:58.0","TID":1,"PID":1,"M":15,"S":53,"PLID":222694,"PLUUID":"b275i2lg3anqae5lv9gmrzmqx","PN":"P. Struijk","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":60.2,"Y":80.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["70.4"]},{"I":141,"V":["96.5"]},{"I":212,"V":["15.21852"]},{"I":213,"V":["0.7901375"]},{"I":318,"V":["0.00024849"]}]}}}
[2025-08-19 00:48:03.960] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":177,"TS":"2025-08-18T20:18:03.511","TID":3,"PID":1,"M":15,"S":58,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":81,"Y":86.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:48:05.982] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":141,"TS":"2025-08-18T20:18:03.337","TID":7,"PID":1,"M":15,"S":58,"PLID":490094,"PLUUID":"axj86ms31y5wju5431l5j2lwq","PN":"T. Iroegbunam","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":23.9,"Y":17,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":167,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:48:07.566] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":178,"TS":"2025-08-18T20:18:05.791","TID":5,"PID":1,"M":16,"S":1,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":79.4,"Y":100.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:48:08.779] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":142,"TS":"2025-08-18T20:18:05.817","TID":5,"PID":1,"M":16,"S":1,"PLID":490094,"PLUUID":"axj86ms31y5wju5431l5j2lwq","PN":"T. Iroegbunam","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":19.5,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:48:18.915] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":143,"TS":"2025-08-18T20:16:15.546","TID":12,"PID":1,"M":14,"S":10,"PLID":111234,"PLUUID":"e8dina16u5kt5ho4u5igtmimt","PN":"J. Pickford","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":4,"Y":49.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["5.7"]},{"I":141,"V":["56.3"]},{"I":212,"V":["4.766826"]},{"I":213,"V":["1.186979"]}]}}}
[2025-08-19 00:48:24.924] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":179,"TS":"2025-08-18T20:18:23.568","TID":1,"PID":1,"M":16,"S":18,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":81.9,"Y":101.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["90.7"]},{"I":141,"V":["92.9"]},{"I":212,"V":["10.86299"]},{"I":213,"V":["5.729504"]},{"I":318,"V":["0.00015718"]}]}}}
[2025-08-19 00:48:27.200] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":180,"TS":"2025-08-18T20:18:24.664","TID":1,"PID":1,"M":16,"S":19,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":90.7,"Y":92.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["85.8"]},{"I":141,"V":["84.5"]},{"I":212,"V":["7.687521"]},{"I":213,"V":["3.979168"]},{"I":318,"V":["0.00178974"]}]}}}
[2025-08-19 00:48:28.570] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":181,"TS":"2025-08-18T20:18:26.96","TID":1,"PID":1,"M":16,"S":21,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":83.7,"Y":84.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["71.2"]},{"I":141,"V":["78.1"]},{"I":212,"V":["13.76487"]},{"I":213,"V":["3.447698"]},{"I":318,"V":["0.00118471"]}]}}}
[2025-08-19 00:48:31.233] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":182,"TS":"2025-08-18T20:18:28.336","TID":1,"PID":1,"M":16,"S":23,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":70.9,"Y":70.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["75.4"]},{"I":141,"V":["33.9"]},{"I":212,"V":["25.533"]},{"I":213,"V":["4.898517"]}]}}}
[2025-08-19 00:48:32.216] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":183,"TS":"2025-08-18T20:18:32.40","TID":45,"PID":1,"M":16,"S":27,"PLID":226182,"PLUUID":"dwumn5qew7ae53givnx2p892h","PN":"J. Bogle","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":74.1,"Y":31.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:48:32.415] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":144,"TS":"2025-08-18T20:18:31.241","TID":7,"PID":1,"M":16,"S":26,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":31,"Y":88.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:48:34.819] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":145,"TS":"2025-08-18T20:18:32.921","TID":3,"PID":1,"M":16,"S":28,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":31,"Y":88.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:48:35.015] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":146,"TS":"2025-08-18T20:18:34.474","TID":49,"PID":1,"M":16,"S":29,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":36.9,"Y":78.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-19 00:48:42.145] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":147,"TS":"2025-08-18T20:18:37.482","TID":1,"PID":1,"M":16,"S":32,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":40.4,"Y":35.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.2"]},{"I":141,"V":["7.9"]},{"I":212,"V":["18.51506"]},{"I":213,"V":["4.757773"]},{"I":318,"V":["0.00001372"]}]}}}
[2025-08-19 00:48:43.840] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":148,"TS":"2025-08-18T20:18:41.786","TID":1,"PID":1,"M":16,"S":36,"PLID":440993,"PLUUID":"3dm2bfuoyips4rbj0vhvbp9be","PN":"I. Ndiaye","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":39.9,"Y":8.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["25.8"]},{"I":141,"V":["20.1"]},{"I":212,"V":["16.80732"]},{"I":213,"V":["2.648485"]},{"I":318,"V":["0.00000297"]}]}}}
[2025-08-19 00:48:46.232] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":149,"TS":"2025-08-18T20:18:43.993","TID":1,"PID":1,"M":16,"S":39,"PLID":512462,"PLUUID":"8u5vfczmsnklqp9bpilrbvy8k","PN":"J. O'Brien","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":25.2,"Y":20.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["7.0"]},{"I":141,"V":["50.6"]},{"I":212,"V":["27.85358"]},{"I":213,"V":["2.326894"]},{"I":318,"V":["0.00000044"]}]}}}
[2025-08-19 00:48:48.669] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":150,"TS":"2025-08-18T20:18:45.897","TID":1,"PID":1,"M":16,"S":41,"PLID":111234,"PLUUID":"e8dina16u5kt5ho4u5igtmimt","PN":"J. Pickford","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":7,"Y":50.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.1"]},{"I":141,"V":["81.5"]},{"I":212,"V":["24.02797"]},{"I":213,"V":["1.064365"]},{"I":318,"V":["0.00000077"]}]}}}
[2025-08-19 00:48:52.175] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":151,"TS":"2025-08-18T20:18:48.521","TID":1,"PID":1,"M":16,"S":43,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":18.7,"Y":80.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["39.1"]},{"I":141,"V":["65.9"]},{"I":212,"V":["23.58042"]},{"I":213,"V":["5.851785"]},{"I":318,"V":["0.00001351"]}]}}}
[2025-08-19 00:48:52.590] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":152,"TS":"2025-08-18T20:18:52.25","TID":86,"PID":1,"M":16,"S":47,"PLID":215413,"PLUUID":"2bkp1lcaxmvwoanxwo0775cdl","PN":"K. Dewsbury-Hall","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":37,"Y":66.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-19 00:48:52.595] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":184,"TS":"2025-08-18T20:18:52.399","TID":86,"PID":1,"M":16,"S":47,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":62.5,"Y":28,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-19 00:49:20.390] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":153,"TS":"2025-08-18T20:19:18.521","TID":1,"PID":1,"M":17,"S":13,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":36.2,"Y":68.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["27.9"]},{"I":141,"V":["44.1"]},{"I":212,"V":["18.62126"]},{"I":213,"V":["4.225348"]},{"I":318,"V":["0.0000069"]}]}}}
[2025-08-19 00:49:22.083] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":154,"TS":"2025-08-18T20:19:20.41","TID":1,"PID":1,"M":17,"S":15,"PLID":111234,"PLUUID":"e8dina16u5kt5ho4u5igtmimt","PN":"J. Pickford","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":30.7,"Y":43.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["75.5"]},{"I":141,"V":["17.4"]},{"I":212,"V":["50.20512"]},{"I":213,"V":["5.926205"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00102863"]}]}}}
[2025-08-19 00:49:23.401] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":155,"TS":"2025-08-18T20:19:21.706","TID":1,"PID":1,"M":17,"S":16,"PLID":440993,"PLUUID":"3dm2bfuoyips4rbj0vhvbp9be","PN":"I. Ndiaye","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":75.5,"Y":17.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":168,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["88.2"]},{"I":141,"V":["-2.0"]},{"I":212,"V":["18.6623"]},{"I":213,"V":["5.508358"]}]}}}
