[2025-08-17 18:38:24.217] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 18:38:24.935] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 18:38:25.673] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"12znl0wq9dni0y2j3xb2dsmj8"}}
[2025-08-17 18:50:44.245] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":108,"TS":"2025-08-17T14:20:44.612","TID":45,"PID":1,"M":19,"S":51,"PLID":247348,"PLUUID":"3yb66hal4fvr04bawz0y3efhl","PN":"D. Mu\u00f1oz","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":0,"X":27.5,"Y":12.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 18:50:45.186] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":188,"TS":"2025-08-17T14:20:41.188","TID":1,"PID":1,"M":19,"S":48,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":63.7,"Y":70.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["70.6"]},{"I":141,"V":["95.1"]},{"I":212,"V":["18.47945"]},{"I":213,"V":["1.16793"]},{"I":318,"V":["0.00034473"]}]}}}
[2025-08-17 18:50:46.049] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":189,"TS":"2025-08-17T14:20:45.427","TID":1,"PID":1,"M":19,"S":52,"PLID":463936,"PLUUID":"c2mwg1uhug0pbgl72uf9b927e","PN":"J. Gittens","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":69.5,"Y":93.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["58.6"]},{"I":141,"V":["74.4"]},{"I":212,"V":["17.20936"]},{"I":213,"V":["3.984835"]},{"I":318,"V":["0.00025495"]}]}}}
[2025-08-17 18:50:46.454] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":190,"TS":"2025-08-17T14:20:46.452","TID":1,"PID":1,"M":19,"S":53,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":58.5,"Y":74.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["58.5"]},{"I":141,"V":["74.4"]},{"I":212,"V":["0"]},{"I":213,"V":["3.141593"]},{"I":318,"V":["0.00017958"]}]}}}
[2025-08-17 18:50:51.456] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":191,"TS":"2025-08-17T14:20:48.883","TID":1,"PID":1,"M":19,"S":55,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":47,"Y":54,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.8"]},{"I":141,"V":["39.8"]},{"I":212,"V":["9.692468"]},{"I":213,"V":["4.799163"]},{"I":318,"V":["0.000065"]}]}}}
[2025-08-17 18:51:00.329] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":192,"TS":"2025-08-17T14:20:51.795","TID":1,"PID":1,"M":19,"S":58,"PLID":225796,"PLUUID":"dczrgxyolp7lcz413wkz7ap61","PN":"R. James","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":45.8,"Y":40.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["21.2"]},{"I":141,"V":["58.7"]},{"I":212,"V":["28.61251"]},{"I":213,"V":["2.696921"]},{"I":318,"V":["0.00000374"]}]}}}
[2025-08-17 18:51:01.322] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":193,"TS":"2025-08-17T14:21:00.820","TID":1,"PID":1,"M":20,"S":7,"PLID":215059,"PLUUID":"d9yxninyn4bac8f0ufxsnlqll","PN":"Robert S\u00e1nchez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":21.4,"Y":54.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["30.2"]},{"I":141,"V":["84.6"]},{"I":212,"V":["22.64308"]},{"I":213,"V":["1.150455"]},{"I":318,"V":["0.00000369"]}]}}}
[2025-08-17 18:51:02.751] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":194,"TS":"2025-08-17T14:21:01.667","TID":1,"PID":1,"M":20,"S":8,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":29.8,"Y":84.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.9"]},{"I":141,"V":["67.5"]},{"I":212,"V":["12.27156"]},{"I":213,"V":["4.980849"]},{"I":318,"V":["0.00000645"]}]}}}
[2025-08-17 18:51:03.719] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":195,"TS":"2025-08-17T14:21:03.188","TID":1,"PID":1,"M":20,"S":10,"PLID":179268,"PLUUID":"7c2wnewpcf1idj6ghj6gu0wyd","PN":"Marc Cucurella","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":34,"Y":65.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["28.3"]},{"I":141,"V":["83.6"]},{"I":212,"V":["13.80845"]},{"I":213,"V":["2.019092"]},{"I":318,"V":["0.00000341"]}]}}}
[2025-08-17 18:51:07.312] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":196,"TS":"2025-08-17T14:21:04.147","TID":1,"PID":1,"M":20,"S":11,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":27.9,"Y":85.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["26.0"]},{"I":141,"V":["48.5"]},{"I":212,"V":["24.96783"]},{"I":213,"V":["4.632401"]},{"I":318,"V":["0.00000388"]}]}}}
[2025-08-17 18:51:11.756] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":197,"TS":"2025-08-17T14:21:07.795","TID":1,"PID":1,"M":20,"S":14,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":28.6,"Y":44,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["30.2"]},{"I":141,"V":["27.1"]},{"I":212,"V":["11.61415"]},{"I":213,"V":["4.857549"]},{"I":318,"V":["0.00000454"]}]}}}
[2025-08-17 18:51:13.777] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":198,"TS":"2025-08-17T14:21:12.259","TID":1,"PID":1,"M":20,"S":19,"PLID":225796,"PLUUID":"dczrgxyolp7lcz413wkz7ap61","PN":"R. James","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":34.5,"Y":34,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["31.3"]},{"I":141,"V":["49.6"]},{"I":212,"V":["11.12741"]},{"I":213,"V":["1.877541"]},{"I":318,"V":["0.000007"]}]}}}
[2025-08-17 18:51:15.777] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":199,"TS":"2025-08-17T14:21:14.195","TID":1,"PID":1,"M":20,"S":21,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":31,"Y":51.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.1"]},{"I":141,"V":["76.4"]},{"I":212,"V":["16.8727"]},{"I":213,"V":["1.439737"]},{"I":318,"V":["0.00000689"]}]}}}
[2025-08-17 18:51:20.194] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":200,"TS":"2025-08-17T14:21:16.259","TID":1,"PID":1,"M":20,"S":23,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":33.9,"Y":75.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["29.9"]},{"I":141,"V":["51.2"]},{"I":212,"V":["17.31316"]},{"I":213,"V":["4.467354"]},{"I":318,"V":["0.00000633"]}]}}}
[2025-08-17 18:51:22.618] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":201,"TS":"2025-08-17T14:21:20.627","TID":1,"PID":1,"M":20,"S":27,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":38.7,"Y":58.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.9"]},{"I":141,"V":["83.1"]},{"I":212,"V":["17.80208"]},{"I":213,"V":["1.919942"]},{"I":318,"V":["0.00000697"]}]}}}
[2025-08-17 18:51:25.814] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":202,"TS":"2025-08-17T14:21:23.44","TID":1,"PID":1,"M":20,"S":29,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":31.3,"Y":81.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.7"]},{"I":141,"V":["48.7"]},{"I":212,"V":["22.62381"]},{"I":213,"V":["4.777411"]},{"I":318,"V":["0.00000895"]}]}}}
[2025-08-17 18:51:27.496] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":203,"TS":"2025-08-17T14:21:26.227","TID":1,"PID":1,"M":20,"S":33,"PLID":486672,"PLUUID":"3uc9z96xvain84leorf4ls962","PN":"M. Caicedo","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":36.6,"Y":45.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["56.0"]},{"I":141,"V":["48.7"]},{"I":212,"V":["20.46523"]},{"I":213,"V":["0.09650829"]},{"I":318,"V":["0.00018592"]}]}}}
[2025-08-17 18:51:31.527] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":204,"TS":"2025-08-17T14:21:27.875","TID":1,"PID":1,"M":20,"S":34,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":56.3,"Y":50,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["69.3"]},{"I":141,"V":["68.6"]},{"I":212,"V":["18.60899"]},{"I":213,"V":["0.7473148"]},{"I":318,"V":["0.00120255"]}]}}}
[2025-08-17 18:51:34.523] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":205,"TS":"2025-08-17T14:21:31.891","TID":1,"PID":1,"M":20,"S":38,"PLID":475168,"PLUUID":"eaqqezw2ed1u0tt3zc128mr1m","PN":"Jo\u00e3o Pedro","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":74.9,"Y":68.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["86.5"]},{"I":141,"V":["82.4"]},{"I":212,"V":["15.58552"]},{"I":213,"V":["0.6737389"]},{"I":318,"V":["0.00327892"]}]}}}
[2025-08-17 18:51:38.751] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":206,"TS":"2025-08-17T14:21:34.835","TID":1,"PID":1,"M":20,"S":41,"PLID":463936,"PLUUID":"c2mwg1uhug0pbgl72uf9b927e","PN":"J. Gittens","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":89.4,"Y":76.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["76.4"]},{"I":141,"V":["70.8"]},{"I":212,"V":["14.22739"]},{"I":213,"V":["3.427462"]},{"I":318,"V":["0.00404465"]}]}}}
[2025-08-17 18:51:38.944] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":207,"TS":"2025-08-17T14:21:38.356","TID":39,"PID":1,"M":20,"S":45,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":83.2,"Y":73.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":64,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":252,"V":["NULL"]}]}}}
[2025-08-17 18:51:39.927] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":208,"TS":"2025-08-17T14:21:40.244","TID":5,"PID":1,"M":20,"S":47,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":101.2,"Y":38,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-17 18:51:42.358] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":207,"TS":"2025-08-17T14:21:38.356","TID":13,"PID":1,"M":20,"S":45,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":83.2,"Y":73.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":64,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.031"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]}]}}}
[2025-08-17 18:51:49.749] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":207,"TS":"2025-08-17T14:21:38.356","TID":13,"PID":1,"M":20,"S":45,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":83.2,"Y":73.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":121,"V":["NULL"]},{"I":64,"V":["NULL"]},{"I":87,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["206"]},{"I":368,"V":["9vnnnugpwxv3otmpnwg0wrtw2"]},{"I":102,"V":["41.5"]},{"I":103,"V":["52.7777777777778"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.031"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":230,"V":["2.15384615384615"]},{"I":231,"V":["46.9305555555556"]}]}}}
[2025-08-17 18:52:06.284] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":109,"TS":"2025-08-17T14:21:40.19","TID":5,"PID":1,"M":20,"S":46,"PLID":247348,"PLUUID":"3yb66hal4fvr04bawz0y3efhl","PN":"D. Mu\u00f1oz","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":-0.2,"Y":62.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-17 18:52:36.622] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":110,"TS":"2025-08-17T14:22:36.116","TID":1,"PID":1,"M":21,"S":43,"PLID":172649,"PLUUID":"5z8ycnd0smdkumi5fgtzf7c9h","PN":"D. Henderson","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":0,"X":4.8,"Y":51.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["61.2"]},{"I":141,"V":["36.8"]},{"I":212,"V":["60.05771"]},{"I":213,"V":["6.115967"]},{"I":1,"V":["NULL"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-17 18:52:37.214] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":209,"TS":"2025-08-17T14:22:37.507","TID":49,"PID":1,"M":21,"S":44,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":45.2,"Y":69.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 18:52:41.621] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":210,"TS":"2025-08-17T14:22:39.235","TID":1,"PID":1,"M":21,"S":46,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":46,"Y":67.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["43.4"]},{"I":141,"V":["42.5"]},{"I":212,"V":["17.3521"]},{"I":213,"V":["4.554403"]},{"I":318,"V":["0.00004222"]}]}}}
[2025-08-17 18:52:48.829] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":211,"TS":"2025-08-17T14:22:42.3","TID":1,"PID":1,"M":21,"S":48,"PLID":225796,"PLUUID":"dczrgxyolp7lcz413wkz7ap61","PN":"R. James","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":44.9,"Y":38.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["86.4"]},{"I":141,"V":["17.8"]},{"I":212,"V":["45.8552"]},{"I":213,"V":["5.966504"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00280915"]}]}}}
[2025-08-17 18:52:50.077] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":212,"TS":"2025-08-17T14:22:49.92","TID":1,"PID":1,"M":21,"S":56,"PLID":475168,"PLUUID":"eaqqezw2ed1u0tt3zc128mr1m","PN":"Jo\u00e3o Pedro","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":97,"Y":8.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["86.5"]},{"I":141,"V":["31.9"]},{"I":212,"V":["19.19093"]},{"I":213,"V":["2.182777"]},{"I":318,"V":["0.01269074"]}]}}}
[2025-08-17 18:52:51.076] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":213,"TS":"2025-08-17T14:22:50.467","TID":1,"PID":1,"M":21,"S":57,"PLID":448047,"PLUUID":"1zxwich342p8fholev7ddkwh6","PN":"E. Fern\u00e1ndez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":85.7,"Y":33.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["85.5"]},{"I":141,"V":["43.0"]},{"I":212,"V":["6.531377"]},{"I":213,"V":["1.602954"]},{"I":318,"V":["0.04448722"]}]}}}
[2025-08-17 18:52:52.472] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":214,"TS":"2025-08-17T14:22:51.364","TID":1,"PID":1,"M":21,"S":58,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":85.3,"Y":43,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["84.2"]},{"I":141,"V":["30.4"]},{"I":212,"V":["8.645499"]},{"I":213,"V":["4.578393"]},{"I":318,"V":["0.01531124"]}]}}}
[2025-08-17 18:52:54.310] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":215,"TS":"2025-08-17T14:22:52.867","TID":1,"PID":1,"M":21,"S":59,"PLID":448047,"PLUUID":"1zxwich342p8fholev7ddkwh6","PN":"E. Fern\u00e1ndez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":80.8,"Y":33.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["75.7"]},{"I":141,"V":["37.4"]},{"I":212,"V":["5.916611"]},{"I":213,"V":["2.702362"]},{"I":318,"V":["0.00545092"]}]}}}
[2025-08-17 18:52:54.514] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":216,"TS":"2025-08-17T14:22:53.891","TID":39,"PID":1,"M":22,"S":0,"PLID":247632,"PLUUID":"6psklvi66inwws7buzf16yjft","PN":"Pedro Neto","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":75.7,"Y":37.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":252,"V":["NULL"]}]}}}
[2025-08-17 18:52:55.268] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":217,"TS":"2025-08-17T14:22:55.603","TID":5,"PID":1,"M":22,"S":2,"PLID":247632,"PLUUID":"6psklvi66inwws7buzf16yjft","PN":"Pedro Neto","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":100.5,"Y":51.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-17 18:52:58.935] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":216,"TS":"2025-08-17T14:22:53.891","TID":15,"PID":1,"M":22,"S":0,"PLID":247632,"PLUUID":"6psklvi66inwws7buzf16yjft","PN":"Pedro Neto","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":75.7,"Y":37.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.0276"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":82,"V":["NULL"]}]}}}
[2025-08-17 18:53:04.853] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":216,"TS":"2025-08-17T14:22:53.891","TID":15,"PID":1,"M":22,"S":0,"PLID":247632,"PLUUID":"6psklvi66inwws7buzf16yjft","PN":"Pedro Neto","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":75.7,"Y":37.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":154,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["215"]},{"I":368,"V":["7yur1moky438lcz827f0e5zyz"]},{"I":102,"V":["50.2"]},{"I":103,"V":["19"]},{"I":321,"V":["0.0434"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":82,"V":["NULL"]},{"I":146,"V":["78.4"]},{"I":147,"V":["38.8"]},{"I":230,"V":["1.89423076923077"]},{"I":231,"V":["52.5277777777778"]}]}}}
