[2025-08-16 19:13:29.352] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 19:13:30.108] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 19:13:30.867] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"11i3orjflpi9empra6uuduwpg"}}
[2025-08-16 19:38:39.712] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":72,"TS":"2025-08-16T15:08:18.159","TID":44,"PID":1,"M":6,"S":40,"PLID":223827,"PLUUID":"bnjdkz5d7st9gtn2srjs8ozc9","PN":"D. Ballard","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":97.5,"Y":61.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 19:38:39.714] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":67,"TS":"2025-08-16T15:08:15.772","TID":5,"PID":1,"M":6,"S":38,"PLID":462116,"PLUUID":"7cp51c8zn7y08iyk0hc9ix5nt","PN":"J. Todibo","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":-0.4,"Y":39.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 19:38:40.683] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":68,"TS":"2025-08-16T15:08:39.932","TID":1,"PID":1,"M":7,"S":2,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":4.8,"Y":54.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["8.5"]},{"I":141,"V":["40.1"]},{"I":212,"V":["10.72442"]},{"I":213,"V":["5.083077"]},{"I":318,"V":["0.00000057"]},{"I":237,"V":["NULL"]}]}}}
[2025-08-16 19:38:42.450] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":69,"TS":"2025-08-16T15:08:41.852","TID":1,"PID":1,"M":7,"S":4,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":0,"X":11.2,"Y":36,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["62.4"]},{"I":141,"V":["13.1"]},{"I":212,"V":["55.96986"]},{"I":213,"V":["6.001244"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-16 19:38:44.230] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":73,"TS":"2025-08-16T15:08:43.982","TID":1,"PID":1,"M":7,"S":6,"PLID":519634,"PLUUID":"e1islmeew98wa2ge0dicloay2","PN":"J. Seelt","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":41.1,"Y":80.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["65.0"]},{"I":141,"V":["64.2"]},{"I":212,"V":["27.54483"]},{"I":213,"V":["5.858237"]}]}}}
[2025-08-16 19:38:46.645] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":70,"TS":"2025-08-16T15:08:45.949","TID":1,"PID":1,"M":7,"S":8,"PLID":197024,"PLUUID":"73efpm314q2paeacsvp4e8q8l","PN":"G. Rodr\u00edguez","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":35.6,"Y":29.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["39.6"]},{"I":141,"V":["13.1"]},{"I":212,"V":["11.91667"]},{"I":213,"V":["5.072574"]},{"I":318,"V":["0.00000719"]}]}}}
[2025-08-16 19:38:46.838] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":71,"TS":"2025-08-16T15:08:46.884","TID":61,"PID":1,"M":7,"S":9,"PLID":101178,"PLUUID":"7r6vds5j65fohi1k28cnqjqvp","PN":"J. Ward-Prowse","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":39.7,"Y":14,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-16 19:38:48.240] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":72,"TS":"2025-08-16T15:08:48.236","TID":1,"PID":1,"M":7,"S":10,"PLID":214590,"PLUUID":"e1t5rgvs2hwnldts6vn8agzc9","PN":"A. Wan-Bissaka","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":0,"X":40.2,"Y":7.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.5"]},{"I":141,"V":["7"]},{"I":212,"V":["1.424672"]},{"I":213,"V":["5.992737"]}]}}}
[2025-08-16 19:38:48.284] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":74,"TS":"2025-08-16T15:08:48.622","TID":74,"PID":1,"M":7,"S":11,"PLID":434399,"PLUUID":"cj3dik1dqyo2nf1jgmyn471sl","PN":"Reinildo Mandava","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":60.1,"Y":95.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 19:38:49.448] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":75,"TS":"2025-08-16T15:08:49.630","TID":5,"PID":1,"M":7,"S":12,"PLID":434399,"PLUUID":"cj3dik1dqyo2nf1jgmyn471sl","PN":"Reinildo Mandava","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":58.5,"Y":101.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-16 19:38:53.457] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":70,"TS":"2025-08-16T15:08:19.485","TID":13,"PID":1,"M":6,"S":41,"PLID":223827,"PLUUID":"bnjdkz5d7st9gtn2srjs8ozc9","PN":"D. Ballard","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":97.3,"Y":61.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":142,"V":["NULL"]},{"I":25,"V":["NULL"]},{"I":15,"V":["NULL"]},{"I":61,"V":["NULL"]},{"I":73,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":154,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["69"]},{"I":368,"V":["l4b51dncl6wd2l6q3qhv7v4f"]},{"I":102,"V":["69.6"]},{"I":103,"V":["8.33333333333333"]},{"I":321,"V":["0.0568"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":391,"V":["NULL"]},{"I":230,"V":["0.596153846153846"]},{"I":231,"V":["46.2083333333333"]}]}}}
[2025-08-16 19:39:02.063] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":73,"TS":"2025-08-16T15:08:50.237","TID":5,"PID":1,"M":7,"S":12,"PLID":214590,"PLUUID":"e1t5rgvs2hwnldts6vn8agzc9","PN":"A. Wan-Bissaka","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":44.3,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-16 19:39:03.324] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":74,"TS":"2025-08-16T15:09:02.285","TID":1,"PID":1,"M":7,"S":24,"PLID":214590,"PLUUID":"e1t5rgvs2hwnldts6vn8agzc9","PN":"A. Wan-Bissaka","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":42,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["30.6"]},{"I":141,"V":["13.2"]},{"I":212,"V":["15.81499"]},{"I":213,"V":["2.429318"]},{"I":318,"V":["0.00000171"]}]}}}
[2025-08-16 19:39:04.904] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":75,"TS":"2025-08-16T15:09:03.580","TID":1,"PID":1,"M":7,"S":25,"PLID":462116,"PLUUID":"7cp51c8zn7y08iyk0hc9ix5nt","PN":"J. Todibo","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":30.6,"Y":13.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["12"]},{"I":141,"V":["42.7"]},{"I":212,"V":["27.99687"]},{"I":213,"V":["2.342808"]},{"I":318,"V":["0.00000083"]}]}}}
[2025-08-16 19:39:06.907] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":76,"TS":"2025-08-16T15:09:05.52","TID":1,"PID":1,"M":7,"S":27,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":11.1,"Y":45.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["24"]},{"I":141,"V":["73"]},{"I":212,"V":["23.31102"]},{"I":213,"V":["0.9507713"]},{"I":318,"V":["0.00000187"]}]}}}
[2025-08-16 19:39:16.933] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":77,"TS":"2025-08-16T15:09:07.213","TID":1,"PID":1,"M":7,"S":29,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":23.1,"Y":70.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["9.9"]},{"I":141,"V":["47.6"]},{"I":212,"V":["20.74535"]},{"I":213,"V":["3.980735"]},{"I":318,"V":["0.00000053"]}]}}}
[2025-08-16 19:39:20.152] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":76,"TS":"2025-08-16T15:09:20.95","TID":44,"PID":1,"M":7,"S":42,"PLID":84450,"PLUUID":"6264xjr1y00yu7b9j2pknalzp","PN":"G. Xhaka","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":41.1,"Y":74.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 19:39:20.508] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":78,"TS":"2025-08-16T15:09:17.246","TID":1,"PID":1,"M":7,"S":39,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":11.2,"Y":46.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["60.2"]},{"I":141,"V":["19.2"]},{"I":212,"V":["54.71978"]},{"I":213,"V":["5.935738"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00016656"]}]}}}
[2025-08-16 19:39:22.325] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":79,"TS":"2025-08-16T15:09:20.735","TID":44,"PID":1,"M":7,"S":43,"PLID":224024,"PLUUID":"at7mm2zrj2hjhu4bnq1f9noix","PN":"Lucas Paquet\u00e1","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":60.2,"Y":19.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 19:39:22.721] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":77,"TS":"2025-08-16T15:09:23.7","TID":49,"PID":1,"M":7,"S":45,"PLID":519634,"PLUUID":"e1islmeew98wa2ge0dicloay2","PN":"J. Seelt","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":30.5,"Y":52.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-16 19:39:23.498] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":80,"TS":"2025-08-16T15:09:22.621","TID":1,"PID":1,"M":7,"S":45,"PLID":224024,"PLUUID":"at7mm2zrj2hjhu4bnq1f9noix","PN":"Lucas Paquet\u00e1","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":0,"X":60.2,"Y":19.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["71.5"]},{"I":141,"V":["42.5"]},{"I":212,"V":["19.7942"]},{"I":213,"V":["0.9280227"]}]}}}
[2025-08-16 19:39:24.906] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":43,"TS":"2025-08-16T15:04:18.84","TID":15,"PID":1,"M":2,"S":40,"PLID":178186,"PLUUID":"d542ijpf3j9hdrtt1mfe6vwlx","PN":"J. Bowen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":92.6,"Y":30.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":233,"V":["31"]},{"I":372,"V":["dps1dbg958tygp4mdae8aohww"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":63,"V":["NULL"]},{"I":80,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["41"]},{"I":368,"V":["7ukju44sr2khfuve5iyyqixd8"]},{"I":102,"V":["47.5171886936593"]},{"I":103,"V":["5.0632911392405"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0755"]},{"I":324,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":146,"V":["98.3653846153846"]},{"I":147,"V":["46.0277777777778"]},{"I":322,"V":["0.0946"]}]}}}
[2025-08-16 19:39:24.936] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":78,"TS":"2025-08-16T15:09:23.151","TID":1,"PID":1,"M":7,"S":45,"PLID":519634,"PLUUID":"e1islmeew98wa2ge0dicloay2","PN":"J. Seelt","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":30.5,"Y":52.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["11.6"]},{"I":141,"V":["51.8"]},{"I":212,"V":["19.85071"]},{"I":213,"V":["3.165574"]},{"I":318,"V":["0.00000076"]}]}}}
[2025-08-16 19:39:26.719] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":79,"TS":"2025-08-16T15:09:25.279","TID":1,"PID":1,"M":7,"S":47,"PLID":498016,"PLUUID":"6h0fuh0aamz86pf25qebm0fvu","PN":"R. Roefs","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":10.5,"Y":53,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["65.2"]},{"I":141,"V":["34.2"]},{"I":212,"V":["58.84055"]},{"I":213,"V":["6.064174"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-16 19:39:28.353] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":81,"TS":"2025-08-16T15:09:28.558","TID":49,"PID":1,"M":7,"S":50,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":33.3,"Y":75.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-16 19:39:35.964] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":82,"TS":"2025-08-16T15:09:29.758","TID":1,"PID":1,"M":7,"S":52,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":29.2,"Y":73.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["12.6"]},{"I":141,"V":["56.9"]},{"I":212,"V":["20.80297"]},{"I":213,"V":["3.719036"]},{"I":318,"V":["0.0000008"]}]}}}
[2025-08-16 19:39:39.821] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":83,"TS":"2025-08-16T15:09:36.207","TID":1,"PID":1,"M":7,"S":58,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":11.5,"Y":38.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["38.7"]},{"I":141,"V":["11.1"]},{"I":212,"V":["34.13742"]},{"I":213,"V":["5.70347"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.0000082"]}]}}}
[2025-08-16 19:39:40.944] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":84,"TS":"2025-08-16T15:09:40.62","TID":1,"PID":1,"M":8,"S":2,"PLID":224024,"PLUUID":"at7mm2zrj2hjhu4bnq1f9noix","PN":"Lucas Paquet\u00e1","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":39.7,"Y":9.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["40.9"]},{"I":141,"V":["4"]},{"I":212,"V":["4.140379"]},{"I":213,"V":["5.021614"]},{"I":318,"V":["0.00000783"]}]}}}
[2025-08-16 19:39:42.358] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":85,"TS":"2025-08-16T15:09:41.150","TID":1,"PID":1,"M":8,"S":3,"PLID":214590,"PLUUID":"e1t5rgvs2hwnldts6vn8agzc9","PN":"A. Wan-Bissaka","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":40.9,"Y":4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["44.4"]},{"I":141,"V":["29.2"]},{"I":212,"V":["17.52564"]},{"I":213,"V":["1.359536"]},{"I":318,"V":["0.00003039"]}]}}}
[2025-08-16 19:39:42.546] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":86,"TS":"2025-08-16T15:09:42.623","TID":61,"PID":1,"M":8,"S":5,"PLID":178186,"PLUUID":"d542ijpf3j9hdrtt1mfe6vwlx","PN":"J. Bowen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":0,"X":43.7,"Y":28.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-16 19:39:44.349] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":80,"TS":"2025-08-16T15:09:43.552","TID":1,"PID":1,"M":8,"S":5,"PLID":577669,"PLUUID":"dwnd8j9ok6ncbp69gmchw953o","PN":"N. Sadiki","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":62.9,"Y":74.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["56.6"]},{"I":141,"V":["79.3"]},{"I":212,"V":["7.406784"]},{"I":213,"V":["2.674986"]},{"I":318,"V":["0.000153"]}]}}}
[2025-08-16 19:39:44.593] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":81,"TS":"2025-08-16T15:09:44.656","TID":49,"PID":1,"M":8,"S":7,"PLID":84450,"PLUUID":"6264xjr1y00yu7b9j2pknalzp","PN":"G. Xhaka","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":56.5,"Y":79.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-16 19:39:48.548] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":82,"TS":"2025-08-16T15:09:44.848","TID":1,"PID":1,"M":8,"S":7,"PLID":84450,"PLUUID":"6264xjr1y00yu7b9j2pknalzp","PN":"G. Xhaka","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":56.5,"Y":79.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["65.9"]},{"I":141,"V":["92.9"]},{"I":212,"V":["13.52562"]},{"I":213,"V":["0.7528749"]},{"I":318,"V":["0.00019317"]}]}}}
[2025-08-16 19:39:48.757] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":83,"TS":"2025-08-16T15:09:48.737","TID":61,"PID":1,"M":8,"S":11,"PLID":535818,"PLUUID":"ai5p5wgft6c09bjbldz9sfeac","PN":"S. Adingra","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":65.3,"Y":93.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]}]}}}
[2025-08-16 19:39:51.570] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":87,"TS":"2025-08-16T15:09:51.824","TID":56,"PID":1,"M":8,"S":14,"PLID":224024,"PLUUID":"at7mm2zrj2hjhu4bnq1f9noix","PN":"Lucas Paquet\u00e1","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":59.2,"Y":2.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-16 19:39:54.874] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":84,"TS":"2025-08-16T15:09:54.576","TID":12,"PID":1,"M":8,"S":16,"PLID":434399,"PLUUID":"cj3dik1dqyo2nf1jgmyn471sl","PN":"Reinildo Mandava","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":39.9,"Y":97.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["39.9"]},{"I":141,"V":["97.7"]},{"I":212,"V":["0"]},{"I":213,"V":["3.141593"]}]}}}
[2025-08-16 19:39:54.982] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":85,"TS":"2025-08-16T15:09:55.41","TID":5,"PID":1,"M":8,"S":17,"PLID":434399,"PLUUID":"cj3dik1dqyo2nf1jgmyn471sl","PN":"Reinildo Mandava","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":40.9,"Y":101.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-16 19:40:00.390] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":87,"TS":"2025-08-16T15:09:51.824","TID":43,"PID":1,"M":8,"S":14,"PLID":224024,"PLUUID":"at7mm2zrj2hjhu4bnq1f9noix","PN":"Lucas Paquet\u00e1","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":59.2000007629395,"Y":2.29999995231628,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":144,"V":["56"]}]}}}
[2025-08-16 19:40:05.798] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":88,"TS":"2025-08-16T15:09:52.446","TID":5,"PID":1,"M":8,"S":14,"PLID":224024,"PLUUID":"at7mm2zrj2hjhu4bnq1f9noix","PN":"Lucas Paquet\u00e1","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":58.9,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-16 19:40:07.581] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":89,"TS":"2025-08-16T15:10:06.143","TID":1,"PID":1,"M":8,"S":28,"PLID":214590,"PLUUID":"e1t5rgvs2hwnldts6vn8agzc9","PN":"A. Wan-Bissaka","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":55.9,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["63.2"]},{"I":141,"V":["17.6"]},{"I":212,"V":["15.37491"]},{"I":213,"V":["1.048883"]},{"I":318,"V":["0.00004661"]}]}}}
