[2025-08-16 18:03:14.487] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 18:03:15.262] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 18:03:16.030] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"102dto55773ex3p58gp94ql90"}}
[2025-08-16 18:09:10.192] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":410,"TS":"2025-08-16T13:39:10.334","TID":74,"PID":2,"M":51,"S":54,"PLID":122806,"PLUUID":"btvuam6p4391am219taqtcted","PN":"J. McGinn","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":75,"Y":31.5,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 18:09:10.417] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":461,"TS":"2025-08-16T13:39:10.41","TID":1,"PID":2,"M":51,"S":53,"PLID":232826,"PLUUID":"8mjj0wgufggpc1ai2dk21h90p","PN":"A. Gordon","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":23.6,"Y":72.9,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["21.3"]},{"I":141,"V":["69.5"]},{"I":212,"V":["3.343287"]},{"I":213,"V":["3.905205"]}]}}}
[2025-08-16 18:09:15.025] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":411,"TS":"2025-08-16T13:39:12.383","TID":1,"PID":2,"M":51,"S":56,"PLID":199796,"PLUUID":"1e9txzr9hqz94xtun6byo0vs9","PN":"M. Cash","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":71.7,"Y":21.8,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["56.6"]},{"I":141,"V":["38.0"]},{"I":212,"V":["19.3063"]},{"I":213,"V":["2.534368"]},{"I":318,"V":["0.00035757"]}]}}}
[2025-08-16 18:09:19.657] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":412,"TS":"2025-08-16T13:39:15.229","TID":1,"PID":2,"M":51,"S":58,"PLID":166989,"PLUUID":"eo4uva2gnx08xdazfaqzyz2dx","PN":"Y. Tielemans","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":53,"Y":38.8,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["28.4"]},{"I":141,"V":["32.1"]},{"I":212,"V":["26.22873"]},{"I":213,"V":["3.316181"]},{"I":318,"V":["0.000009"]}]}}}
[2025-08-16 18:09:23.880] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":413,"TS":"2025-08-16T13:39:19.870","TID":1,"PID":2,"M":52,"S":3,"PLID":72147,"PLUUID":"7h2icfuwy00ilm14dw5xyl5g5","PN":"M. Bizot","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":0,"X":28.6,"Y":31,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["75.5"]},{"I":141,"V":["18.9"]},{"I":212,"V":["49.92765"]},{"I":213,"V":["6.117631"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-16 18:09:29.782] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":414,"TS":"2025-08-16T13:39:27.958","TID":1,"PID":2,"M":52,"S":11,"PLID":226944,"PLUUID":"blth4klpu88kgh73abpjlgusp","PN":"B. Kamara","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":49.7,"Y":27.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["56.3"]},{"I":141,"V":["38.9"]},{"I":212,"V":["10.3474"]},{"I":213,"V":["0.8369468"]},{"I":318,"V":["0.00016291"]}]}}}
[2025-08-16 18:09:31.005] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":462,"TS":"2025-08-16T13:39:24.714","TID":12,"PID":2,"M":52,"S":8,"PLID":78916,"PLUUID":"6f1ljb0an6d0g4nbap6xgxsyd","PN":"D. Burn","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":23.1,"Y":85.8,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.1"]},{"I":141,"V":["72.7"]},{"I":212,"V":["26.72812"]},{"I":213,"V":["5.943403"]}]}}}
[2025-08-16 18:09:31.215] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":463,"TS":"2025-08-16T13:39:31.194","TID":45,"PID":2,"M":52,"S":14,"PLID":208706,"PLUUID":"72m84nwa6dshu3ibmy13dz5rd","PN":"Bruno Guimar\u00e3es","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":40.5,"Y":60.9,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 18:09:32.412] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":415,"TS":"2025-08-16T13:39:29.894","TID":3,"PID":2,"M":52,"S":13,"PLID":449871,"PLUUID":"do3duah478rhz9cg2icde4h9m","PN":"A. Onana","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":54.9,"Y":43.1,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 18:09:36.240] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":416,"TS":"2025-08-16T13:39:32.678","TID":1,"PID":2,"M":52,"S":16,"PLID":449871,"PLUUID":"do3duah478rhz9cg2icde4h9m","PN":"A. Onana","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":66,"Y":54.5,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["76.1"]},{"I":141,"V":["92.9"]},{"I":212,"V":["28.18337"]},{"I":213,"V":["1.185012"]},{"I":318,"V":["0.00081909"]}]}}}
[2025-08-16 18:09:36.602] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":464,"TS":"2025-08-16T13:39:36.762","TID":12,"PID":2,"M":52,"S":20,"PLID":449434,"PLUUID":"5wengf05apke7rv3kms186j56","PN":"A. Elanga","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":16.8,"Y":16.7,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":185,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-16 18:09:37.595] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":417,"TS":"2025-08-16T13:39:36.360","TID":1,"PID":2,"M":52,"S":20,"PLID":101188,"PLUUID":"e8gz0tmmdh1ql8qrn1ncrvnpx","PN":"L. Digne","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":80.9,"Y":94.2,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["81.8"]},{"I":141,"V":["92.3"]},{"I":212,"V":["1.600715"]},{"I":213,"V":["5.343895"]},{"I":318,"V":["0.00047252"]}]}}}
[2025-08-16 18:09:37.800] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":418,"TS":"2025-08-16T13:39:37.702","TID":85,"PID":2,"M":52,"S":21,"PLID":101188,"PLUUID":"e8gz0tmmdh1ql8qrn1ncrvnpx","PN":"L. Digne","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":100.6,"Y":84.5,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[]}}}
[2025-08-16 18:09:38.043] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":465,"TS":"2025-08-16T13:39:38.234","TID":85,"PID":2,"M":52,"S":21,"PLID":449434,"PLUUID":"5wengf05apke7rv3kms186j56","PN":"A. Elanga","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":16.8,"Y":16.7,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[]}}}
[2025-08-16 18:10:15.313] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":419,"TS":"2025-08-16T13:40:14.605","TID":1,"PID":2,"M":52,"S":58,"PLID":226944,"PLUUID":"blth4klpu88kgh73abpjlgusp","PN":"B. Kamara","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":99.5,"Y":99.5,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":6,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["92.5"]},{"I":141,"V":["93.2"]},{"I":212,"V":["8.507359"]},{"I":213,"V":["3.669312"]},{"I":318,"V":["0.00052716"]}]}}}
[2025-08-16 18:10:16.975] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":420,"TS":"2025-08-16T13:40:15.517","TID":1,"PID":2,"M":52,"S":59,"PLID":166989,"PLUUID":"eo4uva2gnx08xdazfaqzyz2dx","PN":"Y. Tielemans","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":93,"Y":93.2,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["93.0"]},{"I":141,"V":["93.2"]},{"I":212,"V":["0"]},{"I":213,"V":["3.141593"]},{"I":318,"V":["0.00051717"]}]}}}
[2025-08-16 18:16:28.297] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 18:16:29.055] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 18:16:29.802] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"102dto55773ex3p58gp94ql90"}}
[2025-08-16 18:16:30.051] [IN] {"csb":{"rc":0,"msg":"Client subscribed"}}
[2025-08-16 18:16:30.052] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":516,"TS":"2025-08-16T13:46:21.976","TID":5,"PID":2,"M":59,"S":5,"PLID":78916,"PLUUID":"6f1ljb0an6d0g4nbap6xgxsyd","PN":"D. Burn","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":100.7,"Y":31.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 18:16:53.134] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":455,"TS":"2025-08-16T13:46:16.125","TID":5,"PID":2,"M":58,"S":59,"PLID":226944,"PLUUID":"blth4klpu88kgh73abpjlgusp","PN":"B. Kamara","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":-1.4,"Y":69.3,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 18:16:55.540] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":517,"TS":"2025-08-16T13:46:55.735","TID":44,"PID":2,"M":59,"S":39,"PLID":119471,"PLUUID":"dxxc4dioaioidmvamkzqr4b85","PN":"F. Sch\u00e4r","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":35.3,"Y":23.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 18:16:56.479] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":456,"TS":"2025-08-16T13:46:53.390","TID":1,"PID":2,"M":59,"S":37,"PLID":72147,"PLUUID":"7h2icfuwy00ilm14dw5xyl5g5","PN":"M. Bizot","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":5.4,"Y":50.9,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["60.0"]},{"I":141,"V":["86.0"]},{"I":212,"V":["62.1"]},{"I":213,"V":["0.3945013"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00006543"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-16 18:16:56.480] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":457,"TS":"2025-08-16T13:46:55.828","TID":44,"PID":2,"M":59,"S":39,"PLID":178301,"PLUUID":"5m0j33eoa5c8pqlr0tdf7undh","PN":"O. Watkins","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":60.2,"Y":85.9,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 18:16:57.136] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":518,"TS":"2025-08-16T13:46:55.831","TID":12,"PID":2,"M":59,"S":39,"PLID":119471,"PLUUID":"dxxc4dioaioidmvamkzqr4b85","PN":"F. Sch\u00e4r","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":35.3,"Y":23.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.9"]},{"I":141,"V":["14.9"]},{"I":212,"V":["9.111749"]},{"I":213,"V":["5.576559"]}]}}}
[2025-08-16 18:16:58.374] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":519,"TS":"2025-08-16T13:46:57.783","TID":1,"PID":2,"M":59,"S":41,"PLID":432422,"PLUUID":"9sxg58hszjq17avxgumftdu22","PN":"S. Tonali","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":42.4,"Y":16.7,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["55.6"]},{"I":141,"V":["15.8"]},{"I":212,"V":["13.8735"]},{"I":213,"V":["6.239058"]}]}}}
[2025-08-16 18:17:02.373] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":458,"TS":"2025-08-16T13:47:00.324","TID":1,"PID":2,"M":59,"S":44,"PLID":449871,"PLUUID":"do3duah478rhz9cg2icde4h9m","PN":"A. Onana","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":50.6,"Y":80.9,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["46.4"]},{"I":141,"V":["67.0"]},{"I":212,"V":["10.43017"]},{"I":213,"V":["4.275843"]},{"I":318,"V":["0.00004938"]}]}}}
[2025-08-16 18:17:07.954] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":459,"TS":"2025-08-16T13:47:02.685","TID":1,"PID":2,"M":59,"S":46,"PLID":226944,"PLUUID":"blth4klpu88kgh73abpjlgusp","PN":"B. Kamara","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":44.9,"Y":63.7,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.7"]},{"I":141,"V":["35.2"]},{"I":212,"V":["20.44418"]},{"I":213,"V":["4.388318"]},{"I":318,"V":["0.00002319"]}]}}}
[2025-08-16 18:17:13.168] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":460,"TS":"2025-08-16T13:47:08.228","TID":1,"PID":2,"M":59,"S":51,"PLID":199798,"PLUUID":"8qys6qtdwgsycxducl062zld5","PN":"E. Konsa","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":56.2,"Y":24.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["98.2"]},{"I":141,"V":["14.0"]},{"I":212,"V":["44.68518"]},{"I":213,"V":["6.121171"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00180815"]}]}}}
[2025-08-16 18:17:13.613] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":461,"TS":"2025-08-16T13:47:13.349","TID":1,"PID":2,"M":59,"S":57,"PLID":199796,"PLUUID":"1e9txzr9hqz94xtun6byo0vs9","PN":"M. Cash","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":0,"X":98.8,"Y":14.4,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["98.8"]},{"I":141,"V":["15.6"]},{"I":212,"V":["0.816"]},{"I":213,"V":["1.570796"]}]}}}
[2025-08-16 18:17:14.829] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":520,"TS":"2025-08-16T13:47:15.111","TID":12,"PID":2,"M":59,"S":58,"PLID":78916,"PLUUID":"6f1ljb0an6d0g4nbap6xgxsyd","PN":"D. Burn","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":4.3,"Y":83.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":185,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-16 18:17:17.043] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":462,"TS":"2025-08-16T13:47:17.370","TID":61,"PID":2,"M":60,"S":1,"PLID":199796,"PLUUID":"1e9txzr9hqz94xtun6byo0vs9","PN":"M. Cash","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":98.2,"Y":15.8,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-16 18:17:17.824] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":463,"TS":"2025-08-16T13:47:18.36","TID":5,"PID":2,"M":60,"S":1,"PLID":199796,"PLUUID":"1e9txzr9hqz94xtun6byo0vs9","PN":"M. Cash","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":0,"X":101.1,"Y":14.9,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 18:17:20.233] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":521,"TS":"2025-08-16T13:47:19.496","TID":5,"PID":2,"M":60,"S":3,"PLID":78916,"PLUUID":"6f1ljb0an6d0g4nbap6xgxsyd","PN":"D. Burn","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":-1.1,"Y":90.7,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-16 18:18:06.934] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":522,"TS":"2025-08-16T13:48:02.248","TID":1,"PID":2,"M":60,"S":45,"PLID":98747,"PLUUID":"9s9i1a7hdq5bud8ma2dqi295h","PN":"N. Pope","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":0,"X":4.5,"Y":48.2,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["67.9"]},{"I":141,"V":["34.5"]},{"I":212,"V":["67.2187"]},{"I":213,"V":["6.144145"]},{"I":1,"V":["NULL"]},{"I":74,"V":["NULL"]}]}}}
[2025-08-16 18:18:07.921] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":464,"TS":"2025-08-16T13:48:08.260","TID":86,"PID":2,"M":60,"S":51,"PLID":149484,"PLUUID":"2smmv9hdoiet7necaf00ol51x","PN":"T. Mings","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":33.6,"Y":68.7,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[]}}}
[2025-08-16 18:18:08.708] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":523,"TS":"2025-08-16T13:48:09.63","TID":86,"PID":2,"M":60,"S":52,"PLID":232826,"PLUUID":"8mjj0wgufggpc1ai2dk21h90p","PN":"A. Gordon","TEAMID":4,"TUUID":"7vn2i2kd35zuetw6b38gw9jsz","O":1,"X":66.2,"Y":37.6,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":0,"Q":[]}}}
[2025-08-16 18:19:02.326] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":465,"TS":"2025-08-16T13:48:56.475","TID":1,"PID":2,"M":61,"S":40,"PLID":149484,"PLUUID":"2smmv9hdoiet7necaf00ol51x","PN":"T. Mings","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":29.6,"Y":64.2,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["31.5"]},{"I":141,"V":["80.6"]},{"I":212,"V":["11.32904"]},{"I":213,"V":["1.393777"]},{"I":318,"V":["0.00000487"]}]}}}
[2025-08-16 18:19:04.865] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":466,"TS":"2025-08-16T13:49:02.683","TID":1,"PID":2,"M":61,"S":46,"PLID":101188,"PLUUID":"e8gz0tmmdh1ql8qrn1ncrvnpx","PN":"L. Digne","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":38.1,"Y":79.1,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["30.2"]},{"I":141,"V":["56.6"]},{"I":212,"V":["17.40394"]},{"I":213,"V":["4.215587"]},{"I":318,"V":["0.00000699"]}]}}}
[2025-08-16 18:19:10.484] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":467,"TS":"2025-08-16T13:49:05.107","TID":1,"PID":2,"M":61,"S":48,"PLID":149484,"PLUUID":"2smmv9hdoiet7necaf00ol51x","PN":"T. Mings","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":31.6,"Y":50.3,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.8"]},{"I":141,"V":["24.9"]},{"I":212,"V":["17.59578"]},{"I":213,"V":["4.904524"]},{"I":318,"V":["0.00000882"]}]}}}
[2025-08-16 18:19:13.335] [POEM] {"data":{"OID":2561896,"UUID":"102dto55773ex3p58gp94ql90","POEM":{"EVID":468,"TS":"2025-08-16T13:49:10.811","TID":1,"PID":2,"M":61,"S":54,"PLID":199798,"PLUUID":"8qys6qtdwgsycxducl062zld5","PN":"E. Konsa","TEAMID":7,"TUUID":"b496gs285it6bheuikox6z9mj","O":1,"X":41.4,"Y":27.3,"STAT":{"CPID":2,"SC":"0:0","PSTAT":[{"PID":1,"SC":"0:0"}]},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["37.5"]},{"I":141,"V":["59.9"]},{"I":212,"V":["22.54305"]},{"I":213,"V":["1.753463"]},{"I":318,"V":["0.00001972"]}]}}}
