[2025-08-23 21:18:41] Palma vs Vigo - C Values: {"T1_C": 9.7, "T2_C": 4.06, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.26, "T6_C": 1.075, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 2.304, "T10_C": 1.616, "T11_C": 1.845, "T12_C": 1.96, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 1.845, "T181_C": 1.96}
[2025-08-23 21:53:09] Palma vs Vigo - C Values: {"T1_C": 18, "T2_C": 4.44, "T3_C": 1.29, "T4_C": 3.58, "T5_C": 1.225, "T6_C": 1.025, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 2.55, "T12_C": 1.512, "T13_C": 2.68, "T14_C": 1.47, "T180_C": 2.55, "T181_C": 1.512}
[2025-08-23 21:53:41] Palma vs Vigo - C Values: {"T1_C": 17, "T2_C": 4.48, "T3_C": 1.29, "T4_C": 3.6, "T5_C": 1.225, "T6_C": 1.025, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 2.55, "T12_C": 1.512, "T13_C": 2.68, "T14_C": 1.47, "T180_C": 2.55, "T181_C": 1.512}
[2025-08-23 21:53:48] Palma vs Vigo - C Values: {"T1_C": 18, "T2_C": 4.44, "T3_C": 1.29, "T4_C": 3.58, "T5_C": 1.225, "T6_C": 1.025, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 2.55, "T12_C": 1.512, "T13_C": 2.68, "T14_C": 1.47, "T180_C": 2.55, "T181_C": 1.512}
[2025-08-23 21:54:18] Palma vs Vigo - C Values: {"T1_C": 19, "T2_C": 4.36, "T3_C": 1.296, "T4_C": 3.59, "T5_C": 1.232, "T6_C": 1.02, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.68, "T12_C": 1.47, "T13_C": 2.89, "T14_C": 1.416, "T180_C": 2.68, "T181_C": 1.47}
[2025-08-23 21:54:59] Palma vs Vigo - C Values: {"T1_C": 21, "T2_C": 4.78, "T3_C": 1.255, "T4_C": 3.93, "T5_C": 1.205, "T6_C": 1.016, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.68, "T12_C": 1.47, "T13_C": 2.89, "T14_C": 1.416, "T180_C": 2.68, "T181_C": 1.47}
[2025-08-23 21:55:31] Palma vs Vigo - C Values: {"T1_C": 19, "T2_C": 4.36, "T3_C": 1.296, "T4_C": 3.59, "T5_C": 1.232, "T6_C": 1.02, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.68, "T12_C": 1.47, "T13_C": 2.89, "T14_C": 1.416, "T180_C": 2.68, "T181_C": 1.47}
[2025-08-23 21:55:44] Palma vs Vigo - C Values: {"T1_C": 19, "T2_C": 4.36, "T3_C": 1.296, "T4_C": 3.59, "T5_C": 1.232, "T6_C": 1.02, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.68, "T12_C": 1.47, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.68, "T181_C": 1.47}
[2025-08-23 21:56:03] Palma vs Vigo - C Values: {"T1_C": 21, "T2_C": 4.8, "T3_C": 1.25, "T4_C": 3.93, "T5_C": 1.2, "T6_C": 1.016, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.68, "T12_C": 1.47, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.68, "T181_C": 1.47}
[2025-08-23 21:56:22] Palma vs Vigo - C Values: {"T1_C": 22, "T2_C": 4.74, "T3_C": 1.255, "T4_C": 3.93, "T5_C": 1.208, "T6_C": 1.015, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.68, "T12_C": 1.47, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.68, "T181_C": 1.47}
[2025-08-23 21:56:52] Palma vs Vigo - C Values: {"T1_C": 22, "T2_C": 4.74, "T3_C": 1.255, "T4_C": 3.93, "T5_C": 1.208, "T6_C": 1.015, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:57:06] Palma vs Vigo - C Values: {"T1_C": 22, "T2_C": 4.74, "T3_C": 1.255, "T4_C": 3.93, "T5_C": 1.208, "T6_C": 1.015, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:57:18] Palma vs Vigo - C Values: {"T1_C": 25, "T2_C": 4.5, "T3_C": 1.256, "T4_C": 3.84, "T5_C": 1.225, "T6_C": 1.01, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:57:24] Palma vs Vigo - C Values: {"T1_C": 22, "T2_C": 4.74, "T3_C": 1.255, "T4_C": 3.93, "T5_C": 1.208, "T6_C": 1.015, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.105, "T14_C": 1.37, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:58:11] Palma vs Vigo - C Values: {"T1_C": 25, "T2_C": 4.5, "T3_C": 1.256, "T4_C": 3.84, "T5_C": 1.225, "T6_C": 1.01, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.26, "T14_C": 1.34, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:58:51] Palma vs Vigo - C Values: {"T1_C": 25, "T2_C": 4.5, "T3_C": 1.256, "T4_C": 3.84, "T5_C": 1.225, "T6_C": 1.01, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.26, "T14_C": 1.34, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 21:59:17] Palma vs Vigo - C Values: {"T1_C": 25, "T2_C": 4.5, "T3_C": 1.256, "T4_C": 3.84, "T5_C": 1.225, "T6_C": 1.01, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.26, "T14_C": 1.34, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:59:24] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.255, "T4_C": 3.88, "T5_C": 1.225, "T6_C": 1.008, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.36, "T14_C": 1.325, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 21:59:32] Palma vs Vigo - C Values: {"T1_C": 25, "T2_C": 4.33, "T3_C": 1.256, "T4_C": 3.75, "T5_C": 1.235, "T6_C": 1.015, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.89, "T12_C": 1.416, "T13_C": 3.36, "T14_C": 1.325, "T180_C": 2.89, "T181_C": 1.416}
[2025-08-23 21:59:38] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.255, "T4_C": 3.88, "T5_C": 1.225, "T6_C": 1.008, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.36, "T14_C": 1.325, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 21:59:51] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 3.96, "T5_C": 1.22, "T6_C": 1.01, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.36, "T14_C": 1.325, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:00:22] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.255, "T4_C": 3.88, "T5_C": 1.225, "T6_C": 1.008, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:00:45] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 3.96, "T5_C": 1.22, "T6_C": 1.01, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.36, "T14_C": 1.325, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:00:58] Palma vs Vigo - C Values: {"T1_C": 29, "T2_C": 4.5, "T3_C": 1.22, "T4_C": 3.99, "T5_C": 1.22, "T6_C": 1.008, "T7_C": 1.784, "T8_C": 2.03, "T9_C": 2.07, "T10_C": 1.752, "T11_C": 3.264, "T12_C": 1.34, "T13_C": 3.52, "T14_C": 1.3, "T180_C": 3.264, "T181_C": 1.34}
[2025-08-23 22:01:03] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 3.96, "T5_C": 1.22, "T6_C": 1.01, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.36, "T14_C": 1.325, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:01:09] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 3.96, "T5_C": 1.22, "T6_C": 1.01, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:01:23] Palma vs Vigo - C Values: {"T1_C": 32, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 4.02, "T5_C": 1.225, "T6_C": 1.004, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:01:45] Palma vs Vigo - C Values: {"T1_C": 32, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 4.02, "T5_C": 1.225, "T6_C": 1.004, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:02:15] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.33, "T3_C": 1.255, "T4_C": 3.79, "T5_C": 1.235, "T6_C": 1.009, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:02:34] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.33, "T3_C": 1.255, "T4_C": 3.79, "T5_C": 1.235, "T6_C": 1.009, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:02:48] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.255, "T4_C": 3.88, "T5_C": 1.225, "T6_C": 1.008, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.105, "T12_C": 1.37, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.105, "T181_C": 1.37}
[2025-08-23 22:03:23] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.255, "T4_C": 3.88, "T5_C": 1.225, "T6_C": 1.008, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.6, "T14_C": 1.29, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:03:28] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.255, "T4_C": 3.88, "T5_C": 1.225, "T6_C": 1.008, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:03:40] Palma vs Vigo - C Values: {"T1_C": 27, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 3.96, "T5_C": 1.22, "T6_C": 1.01, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:03:47] Palma vs Vigo - C Values: {"T1_C": 32, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 4.02, "T5_C": 1.225, "T6_C": 1.004, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.056, "T10_C": 1.765, "T11_C": 3.26, "T12_C": 1.34, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.26, "T181_C": 1.34}
[2025-08-23 22:03:52] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 4.75, "T3_C": 1.2, "T4_C": 4.3, "T5_C": 1.2, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:04:06] Palma vs Vigo - C Values: {"T1_C": 32, "T2_C": 4.75, "T3_C": 1.205, "T4_C": 4.23, "T5_C": 1.205, "T6_C": 1.004, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.16, "T10_C": 1.696, "T11_C": 3.36, "T12_C": 1.325, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.36, "T181_C": 1.325}
[2025-08-23 22:04:24] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 4.75, "T3_C": 1.2, "T4_C": 4.3, "T5_C": 1.2, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:04:37] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 4.75, "T3_C": 1.2, "T4_C": 4.3, "T5_C": 1.2, "T6_C": 1.001, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.36, "T12_C": 1.325, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.36, "T181_C": 1.325}
[2025-08-23 22:04:44] Palma vs Vigo - C Values: {"T1_C": 32, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 4.02, "T5_C": 1.225, "T6_C": 1.004, "T7_C": 1.62, "T8_C": 2.296, "T9_C": 2.16, "T10_C": 1.696, "T11_C": 3.36, "T12_C": 1.325, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.36, "T181_C": 1.325}
[2025-08-23 22:05:02] Palma vs Vigo - C Values: {"T1_C": 32, "T2_C": 4.5, "T3_C": 1.225, "T4_C": 4.02, "T5_C": 1.225, "T6_C": 1.004, "T7_C": 1.62, "T8_C": 2.296, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.36, "T12_C": 1.325, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.36, "T181_C": 1.325}
[2025-08-23 22:05:08] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 4.75, "T3_C": 1.2, "T4_C": 4.3, "T5_C": 1.2, "T6_C": 1.001, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:05:14] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 4.75, "T3_C": 1.2, "T4_C": 4.3, "T5_C": 1.2, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:05:34] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.2, "T4_C": 4.45, "T5_C": 1.192, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:05:41] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 4.75, "T3_C": 1.2, "T4_C": 4.3, "T5_C": 1.2, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:05:54] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.2, "T4_C": 4.45, "T5_C": 1.192, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:07:21] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:07:34] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:07:41] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.2, "T4_C": 4.45, "T5_C": 1.192, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:08:04] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:08:22] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:08:34] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 2.26, "T10_C": 1.64, "T11_C": 3.6, "T12_C": 1.29, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.6, "T181_C": 1.29}
[2025-08-23 22:08:40] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.86, "T12_C": 1.26, "T13_C": 3.86, "T14_C": 1.26, "T180_C": 3.86, "T181_C": 1.26}
[2025-08-23 22:08:47] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 2.36, "T10_C": 1.59, "T11_C": 3.86, "T12_C": 1.26, "T13_C": 4.17, "T14_C": 1.23, "T180_C": 3.86, "T181_C": 1.26}
[2025-08-23 22:09:05] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.46, "T10_C": 1.545, "T11_C": 3.86, "T12_C": 1.26, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 3.86, "T181_C": 1.26}
[2025-08-23 22:09:11] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5.5, "T3_C": 1.17, "T4_C": 4.96, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.56, "T10_C": 1.51, "T11_C": 4.17, "T12_C": 1.23, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 4.17, "T181_C": 1.23}
[2025-08-23 22:09:18] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5, "T3_C": 1.17, "T4_C": 4.64, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.56, "T10_C": 1.51, "T11_C": 3.86, "T12_C": 1.26, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 3.86, "T181_C": 1.26}
[2025-08-23 22:09:37] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5.5, "T3_C": 1.17, "T4_C": 4.96, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.56, "T10_C": 1.51, "T11_C": 4.17, "T12_C": 1.23, "T13_C": 4.78, "T14_C": 1.184, "T180_C": 4.17, "T181_C": 1.23}
[2025-08-23 22:10:06] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5, "T3_C": 1.17, "T4_C": 4.64, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.56, "T10_C": 1.51, "T11_C": 3.86, "T12_C": 1.26, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 3.86, "T181_C": 1.26}
[2025-08-23 22:10:25] Palma vs Vigo - C Values: {"T1_C": 39, "T2_C": 5, "T3_C": 1.184, "T4_C": 4.51, "T5_C": 1.184, "T6_C": 1.001, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 2.46, "T10_C": 1.545, "T11_C": 3.86, "T12_C": 1.26, "T13_C": 4.34, "T14_C": 1.216, "T180_C": 3.86, "T181_C": 1.26}
[2025-08-23 22:10:30] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5, "T3_C": 1.17, "T4_C": 4.64, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 2.56, "T10_C": 1.51, "T11_C": 4.17, "T12_C": 1.23, "T13_C": 4.78, "T14_C": 1.184, "T180_C": 4.17, "T181_C": 1.23}
[2025-08-23 22:10:37] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5.5, "T3_C": 1.17, "T4_C": 4.96, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.56, "T10_C": 1.51, "T11_C": 4.17, "T12_C": 1.23, "T13_C": 4.78, "T14_C": 1.184, "T180_C": 4.17, "T181_C": 1.23}
[2025-08-23 22:10:50] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5.5, "T3_C": 1.17, "T4_C": 4.96, "T5_C": 1.17, "T6_C": 1.001, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 2.755, "T10_C": 1.45, "T11_C": 4.17, "T12_C": 1.23, "T13_C": 4.78, "T14_C": 1.184, "T180_C": 4.17, "T181_C": 1.23}
[2025-08-23 22:11:08] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 5.5, "T3_C": 1.144, "T4_C": 5.06, "T5_C": 1.144, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.755, "T10_C": 1.45, "T11_C": 4.34, "T12_C": 1.216, "T13_C": 5.25, "T14_C": 1.16, "T180_C": 4.34, "T181_C": 1.216}
[2025-08-23 22:12:20] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 6, "T3_C": 1.144, "T4_C": 5.38, "T5_C": 1.144, "T6_C": 1.001, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.95, "T10_C": 1.4, "T11_C": 4.34, "T12_C": 1.216, "T13_C": 5.25, "T14_C": 1.16, "T180_C": 4.34, "T181_C": 1.216}
[2025-08-23 22:12:52] Palma vs Vigo - C Values: {"T1_C": 48, "T2_C": 6, "T3_C": 1.144, "T4_C": 5.38, "T5_C": 1.144, "T6_C": 1.001, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.95, "T10_C": 1.4, "T11_C": 4.78, "T12_C": 1.184, "T13_C": 5.25, "T14_C": 1.16, "T180_C": 4.78, "T181_C": 1.184}
[2025-08-23 22:13:23] Palma vs Vigo - C Values: {"T1_C": 63, "T2_C": 6, "T3_C": 1.125, "T4_C": 5.58, "T5_C": 1.125, "T6_C": 1.001, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.95, "T10_C": 1.4, "T11_C": 4.78, "T12_C": 1.184, "T13_C": 5.25, "T14_C": 1.16, "T180_C": 4.78, "T181_C": 1.184}
[2025-08-23 22:14:06] Palma vs Vigo - C Values: {"T1_C": 63, "T2_C": 6.5, "T3_C": 1.11, "T4_C": 5.98, "T5_C": 1.11, "T6_C": 1.001, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 3.144, "T10_C": 1.36, "T11_C": 5.25, "T12_C": 1.16, "T13_C": 5.7, "T14_C": 1.14, "T180_C": 5.25, "T181_C": 1.16}
